Remove_noise,nilai,sentimen
saya fikir aplikasi ini bisa membantu sat urgent sudah konsultasi dokter halodoc dan sudah tebus obat tapi obat tidak dikirim transaksi dari tanggal juli sampai sekarang statusnya masih di proses giliran di batalkan tidak bisa sudah komplain kali ke sampai komplain ke ig tapi nol besar alhasil obat tidak diterima uang tidak dibalikin nomor pesanan tolong lebih komunikatif lagi karena tanpa pasien aplikasi ini bukan apa,-23,negatif
sangat membantu sekali aplikasi ini saya jadi mudah membelikan obat buat keluarga yang di luar kota,0,netral
cari tempat vaksin terdekat tapi yang ditampilkan bahkan yang di jabodetabek padahal sudah atur lokasi aplikasinya membingungkan,-5,negatif
puas banget konsultasi dengan dokternya lancar dokternya ramah,16,positif
baru pertama kali mengunakan fasilitas aplikasi ini kesanya sangat membantu bagi yang membutuhkan konsultasi dengan dokter termasuk order dan pembelian obat sangat mudah tanpa kita mendatangi tempat prakter dokter ataupun ke apotik,2,netral
pelayanan mantap fast respon juga sangat membantu,17,positif
harusnya sistem pengiriman barangnya diperbaiki lagi obat tidak diterima telepon ke dikasih nomor telepon driver setelah telepon driver katanya apotek tutup tapi tidak ada keterangan apapun tidak auto refund telepon lagi ke katanya akan dihubungi by email sudah semingu tidak ada juga email chat suruh nungu email aduh orang tadinya sakit apa jadi nambah darting obat tidak diterima proses refund tidak jelas juga,-41,negatif
aplikasi yang sangat membantu kita tidak harus antri dan nungu untuk konsultasi dengan dokter god,-9,negatif
benar kecewa dengan halodoc sekarang sudah hampir sebulan masih belum di refund juga memang tidak banyak tapi seharusnya bisa profesional sangat tidak bagus bahkan tidak ada respon sama sekali,10,positif
sangat membantu disat masa pandemic stok obat antivirus mohon diperbanyak,3,netral
pesan obat mudah daftar vaksin juga puji tuhan gampang juga informatif terima kasih halodoc,22,positif
aplikasi membantu banget buat mencari obat yang susah dicari di toko obat terdekat,-14,negatif
alhamdulilah sangat terbantu dengan adanya aplikasi halodoc ini semoga dokter selalu sehat dan selalu memberikan konsultasi dengan baik terhadap pasien,14,positif
keren sangat membantu di era pandemi seperti ini praktis dan resep terjangkau sehat selalu,12,positif
tidak responsible sama sekali mengenai refund pesanan obat saya di batalkan oleh server tapi mengenai refund tidak ada email konfirmasi dan hanya balasan pesan otomatis tanpa penanganan lebih lanjut sangat mengecewakan lewat mingu setelah pemesanan ini nama penimbunan dana ilegal dong di tengah pandemi ini masih saja ada oknum curang,2,netral
baik sekali respon dokter cepat dan ramah,12,positif
cukup membantu disat merasakan sakit diwaktu malam hari waktu orang sedang istirahat terima kasih,-5,negatif
jenius bagus recomend sukses terus nyoba iseng beli obat malam instan dan cepat sekali sampainya hitungan menit sangat membantu terima kasih al,13,positif
keren konsul dokternya bermanfat pesan obatnya gampang,6,positif
katanya halodoc bisa jadi solusi untuk konsul dengan dokter beli obat tanpa harus keluar rumah dan ketemu banyak orang tapi sudah selesai konsul beli obat sampenya lama banget sudah hari tidak tiba tiba padahal pengiriman instan resep digitalnya juga tidak bisa ditebus langsung di apotek orang sakit butuh juga tidak membantu live chat benar dipegang agent atau hanya bot mengecewakan dan benar benar merepotkan,-7,negatif
kecewa banget aplikasi pemerintah katanya tapi chat dokter harus bayar payah uninstal saja jangan download habisin kuota,-12,negatif
dimasa pandemi sprt sekarang ini aplikasi kesehatan halodoc sangat membantu untuk mendapatkan informasi dan konsultasi dengan dokter yang tepat semoga semakin sering memberi diskon,9,positif
nyaman konsultasi online tidak perlu mengantri pilihan dokternya juga banyak,12,positif
terimakasih halodoc mempermudah untuk berobat dimasa pandemi ini,-3,negatif
sangat membantu dalam konsultasi cepat dan mendapatkan obat secara cepat terima kasih halodoc,20,positif
saya pesan obat dikirim di refund dan obat lagi statusnya dibatalkan tapi saldo saya belum dikembalikan sudah chat sudah email balasanya harap sabar suruh tungu katanya masalah antrian dan sebagainya padahal di keteranganya janji estimasi pengembalian hari tapi itu dari tangal sampai sekarang tangal belum balik juga saldo saya tolong jangan mempersulit orang minta uangnya sendiri,-7,negatif
lebih simple dan tidak perlu ke luar untuk berobat,1,netral
this apa such trash apa kenapa faskes vaksinasi yang di cantumkan hanya ada di sekitar wilayah jakarta padahl saya sudah coba beberapa kali masukkan alamat saya but why tf the apa didn show the result near my location,-12,negatif
sangat membantu dan memudahlan sat pandemi,2,netral
respon dokter cepat pilihan mudah dipamahi dan pengantaran obat dari apotek cepat alhamdulilah terimakasih,19,positif
praktis simpel sangat membantu di jaman sekarang,12,positif
aplikasi yang sangat membantu terutama dalam kondisi covid sekarang,3,netral
sangat peraktis mudah tapi untuk biaya ongkos kiriman sangat mahal untuk kiriman obat belum obtan yang lain beda driver dengan hrga ongkos kirim untuk hrga obat murah tapi berat di ongkos kirim seharus hrga ongkos kirim jadi tidak banyak pengeluaran uang ongkos kirim biasa dulu kalau mesen obat lebih dari driver hanya sudah membawa semua obat yang di pesan tapi sekarang tidak untuk obat driver beda,-22,negatif
aplikasi eror tidak bisa merespon macet pokoknya,-13,negatif
buruk obat belum sampai keteran sudah terkirim dan pengirim di struk palsu,-2,netral
pemesanan sangat gampang dan cepat banget diproses pesan pagi kemudian sudah sampai cuma pilihan pembayaranya sedikit saja,15,positif
terimakasih halodoc sangat membantu untuk konsultasi dan respon cepat sehat selalu,24,positif
memudahkan konsultasi tanpa keluar rumah sangat bermanfat terutama dimasa pandemi seperti sekarang,7,positif
sangat membantu sekali tidak pakai ribet mantap,2,netral
aplikasi ok cepat sangat terbantu respon untuk obat cepat ditampilkan sayang untuk obat jenis harus gunakan pengantaran jadi biaya kurir besar harga obat knapa tidak stabil berubah bahkan saya baru menit untuk topup harga obat sudah naik smoga kedepanya bisa lbh baik trimakasih,14,positif
oke banget sangat membantu terima kasih untuk para dokter,16,positif
percuma konsultasi selalu dibatalkan sepihak refundnya lama harusnya ini halodoc dapat pinalti juga dari pembatalanya intinya aplikasi ini jualan obat saja nyesel downlaod sangat tidak rekomended buat kalian,-16,negatif
membantu sekali di kala susah mencari tenaga kesehatan sat ini,0,netral
pengalaman pertama pakai chat halodok mudah cepat dan langsung ditangapi konsultasi dokternya juga ramah pembayaranya gopay mudah tidak ada msalah,26,positif
kecewa dengan layanan kesehatan sekarang pemerintah lewat aparat petugas di jalan selalu menanyakan surat vaksin terus padahal kita belum dapat vaksin dari pemerintah ribet harus lewat link halodoc ujung slot sudah penuh semua terserah di kasih vaksin mongo tidak tidak apa,-15,negatif
aplikasi nyusahin lagi urgent butuh obat sudah konsultasi tingal tebus obat lagi di apotek tidak bisa kebuka telepon custumor service bilangnya tidak ada ganguan apa di suruh nyoba di telepon lagi susahnyq minta ampun sudah lebih di apotik bahkan tidak dapat apa,-28,negatif
setiap saya buka aplikasi halodoc semua menu tidak bergerak tidak bisa di buka pdhak internet aman kenapa selalu macet aplikasinya,-14,negatif
csnya lama banget memberikan balesan baru dibales itu juga tidak jelas solusinya bagaimana,-9,negatif
hei ini aplikasi apa pesanan saya tidak muncul jadi saya batalkan dan trnyata uang saya tidak dikembalikan pembayaran saya lewat kartu kredit sangat slow respon sangat mengecewakan berpikir untuk pakai aplikasi ini,-23,negatif
mudah dan bisa jadi solusi untuk dikeadan seperti sat ini,7,positif
pembelian obatnya mengecewakan sudah lama nungu tahu dibatalkan dari sistem order ulang terus nungu lama saya batalkan tapi tidak bisa giliran status sudah dibatalkan tapi saldo tidak kembali,-16,negatif
dokter ramah menu apa lengkap,4,positif
simpel dan cepat sangat menghemat waktu,9,positif
sangat membantu tapi tolong rekanan apotiknya diperbanyak,10,positif
saya selaku gojek kediri yang sering dapat orderan halodoc dari apotik di kediri sangat amat kecewa dikarenakan barang di apotik selalu kosong atau tidak ada dan akhir di cencel padahal saya sudah datang jauh antri bagian saya brang tidak ada tolong sistem di tingkatkan jangan langsung masuk ke aplikasi driver gojek orderan masuk dulu di apotik dan apotik pastikan barang ada baru di teruskan ke driver gojek sehinga orderan yang masuk ke driver sudah ada dan tidak ada cencel,-26,negatif
aplikasi halodoc sangat membantu saya emak anak yang lagi sakit tidak perlu keluar rumah bisa konsul sama dokternya baik banget malahan dapat resep lagi sudah tidak khawatir lagi tidak perlu ke rumah sakit ketemu banyak orang,-15,negatif
sangat baik dan ramah dalam memberikan pelayanan dan penjelasan,20,positif
benar aplikasi yang sangat bagus dan berguna pada kondisi sat ini,0,netral
pesanan dibatalkan sepihak saldo sampai lama belum kembali juga halodoc sebenernya niatnya bantu apa bahkan nyusain jadi bingung belum lagi ada orderan yang ternyta masih nungu sampai hari niatnya urgent jadi nungu lama seharunya kalau memang kondisi barang jauh jangan ditampilkan bukanya halodoc membantu lebih cepat ini bahkan lama,-6,negatif
pelayanan baik dan cepat usul mungkin boleh untuk angota idi tidak perlu melampirkan resep dokter hanya npa atau cukup foto kta trimakasih,11,positif
disat pandemi seperti ini kami tidak perlu keluar rumah untuk mencari obat terima kasih atas pelayananya halodoc memang best,-11,negatif
halo doc apa kabar pesanan saya yang kurang nomor laporan saya sudah lima hari belum ada kabarnya,-12,negatif
proses pengembalian dana tidak jadi pcr saya sudah hampir bulan tidak ada kejelasan kondisi sat ini uang segitu cukup berharga bukanya membantu malam membuat makin susah saja ini,-5,negatif
pelayananx bagus dan responya cepat,5,positif
iklan kamu spam di youtube mana di skip tidak bisa apk tidak berguna,-8,negatif
kalau ada masalah lama banget ditanganinya laporan juli selesai juli chat butuh biar dibales email juga lama telpon mengantri kadang kalau nungu sudah lama menitan keputus masalah juga selesai saya sudah bawel terus semoga lebih fast respon apalagi kalau jadi partner kesehatan kala pandemi begini terima kasih anyway,-17,negatif
saya pesen obat sampai sekarang tanggal belum di kirim saya kasih koment bahkan koment saya yang di takedown kasih solusi jangan lewat ini nasalah obat saudara laki-laki ini tanggal juga belum balek duitnya suruh hub tapi slow respon sudah take down saja aplikasi penipu ini,-28,negatif
dibalas dengan cepat oleh pihak dokter dan alhamdulilah sejauh ini cocok dengan resep obatnya terima kasih dokter dan halodoc,16,positif
barang tidak kunjung datang akhirnya cancel tapi refund tidak jelas informasinya tolong untuk diperbaiki aplikasinya,-5,negatif
tolong untuk fitur pencarian rekomendasi lokasi agar yang terdekat atau paling tidak masih wilayah atau kota karena untuk sat ini rekomendasi dari aplikasi bisa sangat jauh kalau memang tidak ada ditulis saja tidak ada contohnya sat saya ketik tag lokasi di daerah gresik jatim yang direkomendasikan bahkan daerah depok jateng terimakasih,-26,negatif
obat yang diresep dokter kbnyakan kosong percuma juga kalau konsultasi di resepin obat tapi tidak bisa ditebus krna stok kosong ambil di apotik lain juga tidak nerima resep dari halodoc,-35,negatif
sangat suka konsultasi dengan dokter dokter di halodoc sangat membantu terimakasih halodoc,21,positif
apk ini sangat membantu saya dan keluarga di sat kondisi genting apalagi disat pandemi seperti ini terima kasih halodoc,6,positif
bagus memudahkan beli obat tanpa perlu keliling apotik hanya saja obat yang ada kurang lengkap,-5,negatif
cepat dilayani dan menjawab pertanyan dengan cepat,6,positif
fast respon dokternya ramah aplikasinya tidak bertele,2,netral
saya ganti jadi bintang dulu baru kali ini saya kayak keracunan obat muntah terus niat sembuhkan mual bahkan keluar semua isi perut,-18,negatif
saya baru download aplikasinya untuk keperluan vaksi dari aplikasi gojek driver tapi kenapa tidak bisa di pencet di geser geser sama sekali ada kendala atau bagaimana,-4,negatif
aplikasi yang sangat buruk pesan obat selalu gagal di pembayaran lalu saldo di walet tidak bisa di tarik kembali sudah chat serta kirim email tapi sama sekali tidak ada jawaban,0,netral
sangat tidak responsif lihat ulasan yang lain banyak juga korbanya profesional aplikasi ini bukan membantu tapi mempersulit,-5,negatif
cepat tepat akurat bagi pejuang pasien covid yang isoman mantap banget aplikasi ini,0,netral
pengembalian dana belum balik sudah hari obat belum sampai sudah hari separah itukah terus ditelpon customer service tidak angkat yang ada pulsa kesedot,0,netral
dikasih waktu konsul gratis cuma beberapa menit dimenit terakhir baru dibalas terus parah lagi saya tanya dokter soal penyakit saya tapi bahkan di tanya balik dokter saya yang sebelum bilang apa soal penyakit saya bagaimana sama saja bohong saya tanya dokter disini karena mencari solusi lain,-45,negatif
cepat ramah bermanfat praktis,12,positif
terima kasih sangat terbantu dengan aplikasi ini jadi lebih mudah dan cepat serta efesien biaya,14,positif
sangat membantu sat pandemi tapi kalau bisa bayarnya bisa langsung tf antar bank supaya lebih memudahkan jl tidak py aplikasi gojek,-4,negatif
aplikasi ini sangat membantu dan mudah diaplikasikan trimakasih,11,positif
beli obat dan batalkan oleh sepihak tapi dana nga bisa balik kita benar butuh sat seperti ini uang segitu bagi kami tidak sedikit apalagi sat kita sakit dan membutuhkan obat uang nga bisa tarik bukan membantu bahkan menyusahkan,-18,negatif
sangat praktis tidah perlu dtng ke apotik atau toko obat semua ada di sini,7,positif
saya pesan obat selalu dibatlkan tidak oernah berhasil aplikasi yang aneh untuk apa buat aplikasi kalau tidak bisa digunakan,-23,negatif
aplikasi ini sudah saya gunakan dari awal adanya sangat membantu dalam keadan darurat sangat mempermudah mencari obat dan berkonsultasi dengan dokter juga biayanya sangat murah,6,positif
mantul benar mantul dan sangat berguna aplikasi yang mantul ok suka,8,positif
sebelumnya saya sangat suport dengan aplikasi ini karena ada pelayanan vaksinisasi gratis program pemerintah tapi kenapa yah wilayah sumatera utara kemarin ada ini sudah tidak muncul lagi wilayahnya kecewa sedikit,1,netral
sejauh ini bagus banget hanya saran untuk waktu konsultasi agar di tambah terima kasih,9,positif
aneh sekali tidak semua obat yang direkomendasikan dokter itu ada dan bisa di tebus,-11,negatif
pesanan dibatalkan proses lama sekitar seminguan dari proses pesan semingu barang tidak datang minta redund semingu lebih agak aneh balas lama ditingal menit lngsung mengakhiri sudah kesekian hubungin bgtu jawab menungu terus refund saldo ke gopay tidak refund buruk banget ini aplikasi cukup tahu,-14,negatif
penjelasan sangat detail dan jelas dokternya juga ramah,14,positif
aplikasi apan ini daftar saja susah sudah beberapakali nungu masuk notif sms tidak ada ampe detiknya habis dan gituaja terus bintang cocok banget ini aplikasi,-6,negatif
sangat membantu respon cepat dan pengiriman cepat,10,positif
mekanisme pengembalian uangnya sangat mengecewakan tidak mempernudah tapi tambah menyusahkan,2,netral
sanga cepat terlayani dan praktis,7,positif
bagaimana ini saya sudah kirim email sudah komplen belum ada tangapan juga saldo juga tidak bisa kembali,6,positif
dokter ok pesen obat parah resept dokter diambilkan apotik sudah terkirim satu lagi di proses dan dicarikan driver ditungu ternyata dicancel resep dokter berlaku lagi tidak bisa order ulang jadinya parah ini dikirim vitamin sedangkan obat sakit resep dokter utama tidak terkirim buat apa vitamin dikirim sedangkan obat yang digunakan dibutuhkan calcel super parah tidak rekom aplikasi ini kalau konsiltasi saja ok jangan pesen resep parah super parah,-44,negatif
terima kasih apk sangat membantu sekali terutama dimasa pandemi seperti ini,8,positif
sangat membantu disat kesulitan dalam membeli obat terima kasih aplikasi halodoc,4,positif
aplikasi penipu saya order obat tangal juli lalu namun dicancel oleh apotik yang bersangkutan tapi hinga sat ini sudah mingu uang saya tidak di refund dan ditahan halodoc masa uang segitu saja masih dimakan juga malulah sama aplikasi lain,-34,negatif
bagaimana cara mendaftar untuk vaksin dihalodoc di mantan polonia sudah bolak balik saya buka tutup terus saya sudah telepon ke nomor habis pulsa saya tidak berhasil juga,-7,negatif
kalau beli obat terus gada stok uang langsung dikembalikan tanpa kita harus ajukan respon dokternya juga baik dan jelas tapi kalau beli obat dipersusah karena memang niatanya untk tidak disalah pergunakan jgsi,-7,negatif
sangat membantu terimkasih sekali untuk pihak yang menghadirkan apa ini semoga sehat terus dan bermanfat bagi sesama aplg untuk harganya sangat ramah trlbh berguna sekali sat sat kondisi pandemi seperti ini,9,positif
sangat terbantu sekali berobat dan konsultasi tidak harus pergi ke dokter apalagi ditengah pandemi wabah cobid yang semakin meningkat alhamdulilah sangat terbantu obat datangpun cepat hanya berapa menit setelah di tutup alikasinya makasi halodoc,-16,negatif
halodoc dokter fast respon dalam keadan pandemi seperti ini halodoc god solusi tidak perlu ke rumah sakit jika memang tidak urgent,-4,negatif
memudahkan pasien yang ingin berobat tapi tidak keluar rumah harga konsultasi sangat murah dan dokter yang rekanan sangat profesional,3,netral
cukup bagus pilihan konsultasi dengan dokter spesialis cukup banyak kalau boleh ditambahkan lagi metode pembayaranya lewat transfer bank lain tanpa harus mendaftarkan kartu debit atau kredit terima kasih,-3,negatif
tangal pernah buat pesanan obat namun pada esoknya tanggal tiba pesanan dibatalkan itu tidak ada konfirmasi apa pada tangal saya buat kembali pesanan obat namun sampai sat ini tangal sudah hari belum juga kirimkan pesanan saya laporan chat ke halodoc yang jawab cuma robot sangat merugikan untuk pihak saya,-26,negatif
pesanan saya di cancel apotik tangal juli dengan nomor order paling yang saya bayarkan melalui gopay sampai sekarang saya belum menerima pengembalian dana saya chat melalui halodoc yang saya dapat hanya suruh menungu karena antrian banyak pedagang warung kecil pingir jalan saja tidak lama begini kalau tidak jadi beli dalam pengembalian dana belajar sama warung kecil di pingir jalan,-19,negatif
sangat bagus dengan adanya apk halodoc semua menjadi mudah bagi yang tidak bisa langsung datang ke dokter rekomendasi banget cuma sayang belum bisa pakai bpjs,-2,netral
pembayaran transaksi lain lancar cuma di sat kita butuh customer service tentang keluhan tidak pernah ada tangapan,-7,negatif
pemesanan mudah dan pengiriman cepat,2,netral
mempermudah banget harganya juga terjangkau jadi konsul konsul hal hal urgent bisa langsung chat sudah chat dokter spesialis dan respon bagus bagus semua terimakasih,23,positif
dokternya baik ramah dan memberikan solusi yang terbaik terima kasih halodoc,15,positif
sangat membantu terima kasih salam sehat terus,15,positif
alhamdulilah dikasih resep dan motivasi yang baik juga cocok,13,positif
syukur cepat dapat tangapan dokter dan langsung dapat resep terima kasih,22,positif
aplikasi apan ini sangat menyusahkan tidak mempermudah tidak sesuai iklan di tv apanya yang bisa bisa di batalkan sembarangan saja pilih apotik ujung obat tidak ada selalu tidak ada buat aplikasi yang benar bisa di andalkan jangan ngasal saja stok di apotik tuh harus jelas jangan buat susah orang paham kalian nyadar tidak sich driver jauh sudah sampai di apotik ternyata obat tidak ada apa ke apotiknya pakai air mikir dong,-66,negatif
sudah hari kerja saldo gopay saya belum drefund juga transaksi tanggal kterangan dalam proses tapi dbatalkan system sampai skrangpun belum drefund sampai kpan harus saya tungu parah tiada kejelasan cuma tungu tungu entah sampai kapan,-3,negatif
sudah hari tapi belum ada kejelasan kapan obat saya sampai status pengiriman sejak hari pertama hanya terkonfirmasi padahal itu obat yang benar benar saya butuhkan karena saya pasien covid,-21,negatif
aplikasi yang sangat tidak memuaskan saya buat janji dengan dokter tidak dikonfirmasi sampai yang sudah dijadwalkan akhirnya setelah lewat dari jadwal yang saya buat tibatiba diganti jadwal senaknya,-18,negatif
kayaknya bagus di coba pembayaran cuma dengan gopay dan creditcard saja tidak bisa virtual acnt debit,-10,negatif
pengalaman pertama pakai apa ini sangat memuaskan respon dokter sangat cepat dan on point tidak perlu antri lagi di rumah sakit,7,positif
membantu sekali cari obat yang kadang tidak ada di apotek terdekat untuk fitur lain sangat membantu,-2,netral
saya sudah pesan obat dari kemarin obat itu sangat dibutuhkan ditungu sampai sekarang tidak ada kbrnya cuma dalam proses terus memang orang sakit harus nungu obatnya sampai lama payah,-12,negatif
lama bikin akun saja harus nungu kode kode enga di kirim kirim apa apan ini tertawa,-12,negatif
dokter ramah dan sangat membantu dalam konsultasi penyakit yang di derita sangat membantu di tengah kondisi seperti ini,12,positif
aplikasi jelek paket tidak sampai sudah hari menyesal instal dan order di halodoc,-4,negatif
pengiriman cepat dan harga yang terbaik,1,netral
aplikasi yang sangat membantu di sat pandemi seperti ini juga lagi banyak promo konsultasi dengan dokternya terimakasih banyak halodoc,6,positif
sangat membantu informasinya jelas dokternya ramah,15,positif
sangat membantu disat kami jauh dari kota dan layanan kesehatan yang terbatas didaerah terima kasih halodoc,4,positif
aplikasi bagus dan sangat membantu terima kasih,9,positif
lumayan bisa konsultasi chat dengan dokter dari rumah dan cukup membantu bagi pasien yang ingin berkonsultasi chat semoga kedepanya juga bisa ada menu pilihan yang jika ingin konsultasi telepon cal terimakasih,20,positif
kenapa sudah bisa pembayaran tapi sat selesai kembali ke aplikasi tidak bisa tertulis ada masalah dengan pengiriman padahal pengiriman reguler,-14,negatif
sangat bermanfat untuk orang yang sedang sakit dalam proses pengobatan maju terus halodoc,-3,negatif
disat kondisi seperti ini dengan adanya program halodoc sangat membantu untuk konsultasi dengan dokter secara online dan pembelian obat atau alat kesehatan tanpa kita perlu keluar rumah,8,positif
mantap proses cepat pengiriman cepat,7,positif
aplikasi ok tapi untuk biaya kirim pasti lebih mahal dari layanan antar lainya,7,positif
sangat membantu apalagi di kala kondisi seperti yang tidak bisa langsung ke rumah sakit dan butuh urgent thankyou halodoc,-8,negatif
sangat membantu aplikasi mudah dipakai,7,positif
sangat puas dan cepat terimakasih halodoc,14,positif
selalu puas dengan pelayananya diantar dengan baik dan sesuai pesanan terima kasih halodoc,13,positif
aplikasi sangat buruk pesan obat barang dikirim tidak sesuai jumlahnya slow respon dan obat di refunded sendiri oleh aplikasi tanpa pemberitahuan ke kita mengecewakan sekali,-21,negatif
aplikasi ini sangat membantu apalagi di masa pandemi seperti ini apa yang kita keluhkan bisa chat sama dokternya langsung dan di beri resep langsung di antar obatnya bagus banget,9,positif
sangat membantu dan bisa sesuaikan budget,7,positif
halo doc doc saya tanya isteri saya masih mudah dan mis masih utuh tapi kalau bersetubuh rasa sakit dan pada akhirnya saya tidak bisa bersetubuh lagi apakah ada obat,-20,negatif
trimakasi dokter bantuanya tetap semangat dan jaga kesehatan selalu,9,positif
komunikatif jelas maju terus halodoc,1,netral
tampilan aplikasi mudah dan jelas harga jasa konsultasi juga bervariasi mulai ratusan ribu bisa bayar pakai gopay harga harga obat juga masih terjangkau dan masuk akal resep obat yang diberikan lumayan bagus dan bekerja dengan baik dalam tubuh saya di sat masa pandemi seperti ini halodoc menjadi andalan saya dan keluarga sangat bagus dan bisa menolong dalam keadan darurat,19,positif
terbaik terima kasih halodoc konsultasi jadi lebih cepat dan ditangani banyak dokter berpengalaman,24,positif
sangat membantu sekali konsultasi jadi mudah,14,positif
sangat membatu cuma harga agak mahal saja,3,netral
iklanya gratis bertanya tapi harus bayar juga bagaimana bertanya secara gratis ngab,8,positif
lebih mudah mengakomodasi semua keperluan,7,positif
maf sementara ini saya rate bintang dulu pertama kali nyoba karena saya pikir bisa mempermudah dalam membeli obat ternyata susah proses refund sangat lama hampir satu mingu belum di refund berbelit belit dengan alasan proses yang cukup lama sedangkan teman saya refundnya cepat tidak sampai hitungan terima kasih,-29,negatif
sejauh ini masih bekerja dengan baik aplikasinya dokter baik dalam menjelaskan,9,positif
baik ramah tepat dan sabar,13,positif
aplikasi sampah pesen obat sekarang dikirim lusa dikirim apotik sudah tutup ini aplikasi tidak update vendor apa amat sangat tidak berguna rugi waktu dan biaya,-16,negatif
fast respon docter baik dan ramah,10,positif
sangat membantu sekali dan dokternya sangat ramah terima kasih halodoc,18,positif
aplikasi yang sangat baik dan sangat membatu apalagi disat pandemi kayak begini terima kasih for al,-3,negatif
keren banget sangat membantu kita kalau sedang bingung konsultasi ke dokter apalagi sat kondisi pandemi begini keren ini aplikasi memang sangat membantu,11,positif
sangat simple aplikatif mantap,11,positif
apa ini keren sekali dan sangat membantu sat musim pandemi sekarang ini dan untuk bapak ibu dokter kami doa sehat selalu amin,9,positif
saya bok apointment dengan dokter tapi notifnya tidak masuk sudah apointment padahal sebelumnya diberitahu akan di reminder menit oleh aplikasi chat dokter juga tidak masuk notif uang saya jadi hangus jadi takut bok apointment lagi ujungnya bakal tidak masuk notif dan uang hangus,-34,negatif
sat saya terpapar covid sudah dapat rujukan dari kemenkes sebelumnya saya sudah berobat ke dokter sekitar rumah hanya obat demam batuk pilek lalu konsul ke halodoc saya pikir mendapat resep vitamin dan obat antivirus gratis tidak dapat resep atau vitamin atau obat apapun mungkin karena gratis kali percuma konsul,-2,netral
sangat efektif dan sangat membantu,15,positif
dulu awal pakai halodoc masih awal awal muncul dapat dokter responya bagus terus entah mungkin biar naik rating dulu kali jawaban memuaskan konsul tidak terburu buru kasih resep juga god sekarang sudah terakhir saya konsul online dokter respon lama konsul terburu buru tidak fokus dan jawab sekenanya saya konsultasi buat bayi dikasih resep yang terlalu keras sehinga saya harus konsul ofline lagi tidak praktis dan tidak memudahkan apalagi pandemi seperti ini,-14,negatif
bayar kali untuk konsultasi tidak pernah bisa chat loading terus,1,netral
aplikasi sangat merugikan tidak bisa membatalkan pemesanan buat janji harusnya aplikasi ini bisa di batalkan kapan saja dan harusnya bisa di bantu untuk tapi tidak membatu sama sekali dan tidak bisa di batalkan saldo lenyap begitu saja membuat costumer menambah beban,-22,negatif
obat batuk cukup lengkap dan pengantaranya juga cepat,-7,negatif
membantu dengan penjelasan yang singkat dan mudah dipahami,3,netral
benar aplikasi yang sangat berguna disat pandemi ini solusi ketika ingin konsultasi tapi takut ke dokter karena takut antri dan berkerumun fast respon penjelasan lebih detail dari pada datang ke dokter langsung,-2,netral
dokter ramah respon cepat dan sangat membantu,17,positif
payah banget obat yang diresepkan tidak pernah ada apotek rekanan yang ditunjuk tidak pernah siap obat padahal obat umum pasien itu pengenya cepat dapat obat terus sembuh bukan standby dengan hp check kesedian obat terus menerus yang ada bukanya sembuh bahkan jadi lebih sakit,-23,negatif
suka banget dan dokter god response dan juga resep obat aman terpercaya terima kasih halodoc,8,positif
saya sedang isolasi mandiri dan halodoc ini masuk ke dalam program gratis dari kemenkes terima kasih sangat mempermudah pertahankan,0,netral
apotek pengambilan obat terlalu jauh banyak driver yang tidak pick up,-17,negatif
pelayanan cepat dan lengkap,8,positif
halo aku nga pesen apa tiba datang paket padahal aplikasinya sudah aku hapus dari beberapa hari yang lalu,-1,netral
mekanisme pembelian obatnya hanya mencari apotik disekitar tempat tingal kita atau di seputaran kota tempat tingal karena beberapa obat selalu tidak tersedia,-20,negatif
sangat membantu sekali dan memudahkan apalagi pada sat pkm ini dan hebatnya bisa nyambung ke asuransi kita,6,positif
download langsung coba pesen obat buat mamah yang jauh sana alhamdulilah segampang itu ngebantu banget apa ini terima kasih,-7,negatif
benar benar memudahkan kalau lagi keadan darurat dokternya juga ramah beli obat pakai aplikasi ini juga gampang,8,positif
penaganan cepat dan respon cepat terima kasih,12,positif
dibatalkan statusnya tanpa penjelasan,3,netral
jelek banget masak konsul kali pakai debit gagal padahal pembayaran sudah konfirmasi di coba lagi pakai metode pembayaran lain gagal juga padahal sudah terbayar sebenarnya bisa tidak di pakai ini,-13,negatif
sangat membantu pelayanan memuaskan salam sehat,19,positif
metode pembayaran mungkin bisa diperbanyak lagi pilihanya,-9,negatif
pelayan cepat dan penjelasanya sangat membantu,14,positif
bagus aplikasinya bisa mnjawab yang kita tanyakan dan bisa diresepkan obat juga terima kasih halodoc,-2,netral
customer service galak lewat telepon tidak ramah complaint by email tidak di tangepin terus chat lama banget sekalinya balas tidak nyelesain masalah lagi ramai karena pandemic corona harus manajemen nambah resource,-21,negatif
harga obat yang dipilih selalu yang paling atas apotik ngacak padahal didekat lokasi banyak apotik yang kerjasama dengan halodoc tapi selalu dapat yang jauh,-20,negatif
keren dan sangat membantu untuk pasien yang hanya membutuhkan konsultasi,2,netral
pengiriman obat lama status diaplikasi hanya siap diantar berhari hari tidak ada solusi dari customer servicenya respon komplen chat dan email lama dan hanya diteruskan ke team terkait tanpa ada update selanjutnya,-15,negatif
baik dan cepat pelayanany dan dokter specialis banyak,9,positif
tidak bisa didownload saya pakai hp dari orang lain juga tidak bisa untuk daftar vaksinasi jadi tertunda ini urgent sekali,-19,negatif
pelayanan dokternya bagus baik dan ramah pengeriman obatnya juga cepat terimakasih halodoc,21,positif
