userName,score,at,content
Iis Aryani,5,2020-12-01 22:24:00,Pertama Konsul ke dokter langsung suka.. terimakasih dokternya baik dan sanga cepat tanggap
Ika Mariana,5,2020-12-01 21:57:00,Sangat membantu dan bermanfaat. Dokter yg melayani juga baik. Terimakasih.
Almara Mizan,5,2020-12-01 19:55:11,Pelayanan dokter nya sangat ramah dan cepat🙏
Misiati,5,2020-12-01 18:34:34,Sangat membantu disaat malam hari dan urgent 🙏🏼 Dokternya ramah dan informatif
Khoirun Nisa,5,2020-12-01 15:54:54,"Dokternya ramah, responnya juga cepet banget, sangat membantu sekali pokoknya"
Alifa Ciwan,5,2020-12-01 14:55:36,Responnya luar biasa cepat dan ramah. Trima kasih
ira Hasanah,3,2020-12-01 14:37:08,"Cukup membantu dengan keluhan sakit yang dialami, apalagi saat sakit susah untuk ketemu dokter secara langsung"
Novica Pangaribuan,5,2020-12-01 14:35:52,"Membantu banget, dokternya ramah2 dan penjelasannya jelas"
Dikki Firmansyah,5,2020-12-01 14:17:27,Membantu sekali. Pembayaran coba ditambahkan metode transfer bank.
Linda Febrianty,5,2020-12-01 12:48:06,"Blum buka aplikasinya sih. Ini jga baru mau di download tpi semoga aplikasinya tdk mengecewakan, semoga bermanfaat dan bisa menjadi jalan kesehatan untuk saya dan yg teman lainnya."
Aulia Rahmat,5,2020-12-01 12:31:56,"Konsultasi pertama di Halodoc dengan Drg.Arianita, dokternya ramah dan fast response. Alhamdulillah."
Rian Puteri Sayekti Wibowo,5,2020-12-01 12:16:43,Lengkap & dokternya membantu menjelaskan seputar kesehatan dengan diberikan resep juga.
Nia Agustina,5,2020-12-01 11:29:28,Aplikasinya sangat sangat membantu. Dokternya juga ramah dan memberi banyak saran. Terimakasihhh
hafrllian lestya m,5,2020-12-01 11:10:58,Mantap. Simpel mudah dan cepat
Ahnaf Rafi,5,2020-12-01 11:00:52,"Wah dokter dokternya juga ramah, apk ini sangat berguna untuk mengetahui luka apa yg di derita bagus deh apk nya🥰👍"
Novia Cindy,5,2020-12-01 09:00:25,"Menarik. Sebelumnya saya gunakan app yg 1 lagi dan tdk pernah merasa puas karna merasa chat dgn robot. Tetapi di halodoc saya benar2 chat dgn dokter nya langsung. Hanya butuh beberapa detik utk tersambung dgn dokter nya. Dan respon dokter sangat baik, penjelasan nya juga dapat di pahami dgn mudah."
Sintia Marsella,5,2020-12-01 02:25:54,"sangat membantu sekali, dan pelayanan cepat. terimakasih..."
Pande Adi Putra,4,2020-12-01 02:18:37,"Pelayanan sangat bagus, baru pertama memakai halodoc. Fast respon. 🙏🙏"
Tanti Gaya,4,2020-11-30 22:45:31,Sangat membantu memberikan Layanan yg baik juga solusi dimn pun n kpn pun Bisa konsultasi seputar keluhan penyakit Baru diberikan obat yg tepat wow halodok memang ok
Annisa Putri,5,2020-11-30 13:15:25,"Sukaa sama aplikasinyaa, dokternya bener² baik dan responnya cepat. Sekarang saya jadi tau apa sakit yang saya alami. Terimakasih Halodoc! Semoga selalu sukses dan berkembang."
Novi Setyono,5,2020-11-30 13:15:02,sangat membantu..disaat pandemi..dokternya quick respon dan ramah banget...top dah
Ria Rizki,1,2020-11-30 09:49:52,"plis banget halodoc! aku udah bayar 2x sinyal juga kuat tapi gakbisa chat dokter aplikasi nya error, padahal udah pake versi terbaru. payah"
azzumar ikhlas,5,2020-11-30 09:05:45,Aplikasi ini sangat membantu pasien yang susah dibawa berobat ke RS. dan dokter2 konsultasinya juga sangat ramah. Saya merekomendasikan untuk mendownload aplikasi. Halodoc memang okeee
Nila Kusumawati,5,2020-11-30 08:08:13,"Dokternya ramah dan sangat membantu, trus dapet hadiah hallofit untuk anakku. Terima kasih hallodoc sukses selalu"
Gatot Pusoro,5,2020-11-30 06:17:00,aplikasi yg sangat membantu chat dijawab dengan cepat
Wasis Setiyawan,4,2020-11-30 02:42:16,Pelayanan ramah cepat
Suziana Suziana,5,2020-11-30 01:37:18,Pelayanan cepat dan obatnya sangat manjur
Riza Octarina,5,2020-11-30 00:59:07,Konsultasinya cepat dan terlayani dengan baik... Luar biasa halo dok
Syah Roni,5,2020-11-29 23:21:41,"Sangat baik dan cepat, para dokternyapun cepat tanggap"
kartikadarmawan tika,5,2020-11-29 14:16:55,"dokternya ramah lugas dan memberikan solusi yg tepat.. semoga app hallodoc makin sukses berkah ke depannya,,sangat membantu bagi pasien yg membutuhkan konsultasi utk berobat... trimakasih HalloDoc dan para dokter and kru suksess selalu... Jaya...!!"
Dita Prawesti,1,2020-11-29 12:31:59,saat saya pesan tertera harga 85.000 untuk 1pcs tapi saat saya cek nota tertera 165.000 dan tertulis 1pcs.saya cek harganya pun diapotik untuk 1 pcs memang 85.000.Sungguh kecewa hallo doc tidak jujur.Sekarang saya cek malah dinaikan jadi 165.000untuk 1pcs.Sungguh tidak profesional.Jangan beli disini HARGA TIDAK JUJUR.
M Arfan,5,2020-11-29 10:04:11,Tanggap cepat buat hari libur.. Tapi tidak bisa bikinkan surat rekomendasi izin sakit digital
Isnaini Damayanti,5,2020-11-29 09:41:23,"Ternyata dokternya bener2 josss. Resep obatnya juga beneran manjur, ya walaupun mahal sih. Tapi ada beberapa dokter yang agak cuek. Pernah nanyain jerawat langsung disuruh facial tanpa ngasih saran sama penyebab yg lain"
desi natalia,5,2020-11-28 15:02:39,Dokternya sangat ramah dan membantu. Pejelasannya lengkap dan kita terbantu dengan resep obat yang diberikan. Sukses selalu halodoc..
Dendi Ilhamnudin,5,2020-11-28 14:36:04,"Sangat memuaskan, fast respon, sopan, mudah dimengerti, the best for this app"
Awaludin Firmansah,5,2020-11-28 13:59:12,Aplikasi keren tapi suka di selesaiin Ama dokternya ya padahal masih belum selesai kan kalau lagi Konsul kadang kurang inget jadi suka lupa pas mau konsulnya😅😅
sandy leo,5,2020-11-28 13:53:44,Aplikasi yg sangat bagus dan sangat membantu sekali. Sedang berada di luarkota dan malas keluar hotel bs konsultasi dgn dokter perihal batuk gatal tenggorokan. Thanks halodoc and dok...
Aksa Roynaldi,5,2020-11-28 13:19:33,"Aplikasi sangat membantu sekali ,zaman skrg ,musim pandemi seperti ini .. walaupun berbayar tapi sesuai dgn yg diberikan ,pelayanan dokter memuaskan .. sukses sslalu halodoc ..."
Hendrik Suprastiyo,5,2020-11-28 12:14:05,"Menurutku si ni bgus lah bisa bijikin janji juga dengn dokter sepsialis y ,trimksh sudah ada aplikasi ni 😍"
indah sari,5,2020-11-28 11:51:16,"Jadi tenang bisa konsultasi langsung sama dokter, membantu banget. Terimakasih halodoc:)"
Berkah Wahana,5,2020-11-28 10:55:35,"Aplikasi halodoc ini berguna banget untuk kalian yang mau di tanyakan ama dokter, apalagi di situasi lagi pandemic virus Corona ini"
son kalumbang,5,2020-11-28 10:47:55,sangat bagus dan sangat membantu dalam konsultasi..dokternya juga ramah dalam menjawab setiap chat(keluhan) dari pasien..
Eva Erviana,5,2020-11-28 10:13:01,"Pelayanannya baik cepat, dokternya pun ramah"
ovi sofwilwidad,5,2020-11-28 09:01:02,Sangat membantu kami yang punya bayi di masa pandemi seperti ini...terima kasih halodocs♥️
Ali Zalukhu,5,2020-11-28 08:12:26,"Terima kasih banyak atas Sport Apk Halodoc, Semoga dengan aplikasi Halodoc ini dapat membantu dan Bermanfa'at, saya sudah buktikan Respon nya Sangat cepat sekali, ayo download aplikasi Halodoc tunggu apalagi, dan konsultasi kesehatan keluarga besar Anda, Terima kasih banyak ya Apk Halodoc Semoga Bapak Ibu Dokter nya panjang umur dan dapat membantu kami dalam keluhan kami yg belum paham tentang Reset kesehatan, sekali lagi saya ucapkan terima kasih 🙏"
Dina Novita,5,2020-11-28 07:17:03,Langsung bintang 5 aja deh makasih untuk aplikasi ini sangat membantu sekali dalam mengatasi semua keluhan saya 👍
JJ IT Chanel,5,2020-11-28 03:57:56,Solusi nyaman saat sedang sakit. Terima kasih untuk konsultasi sehat yang telah diberikan. Salam sehat.
Raasyid Ismail,5,2020-11-28 02:09:49,"Aplikasi sangat bagus, dokternya menjawab semua pertanyaan kita. The best banget ini aplikasi👍👍"
Dedy Wijaya,5,2020-11-27 15:55:49,Mantap.. tingkatkan lagi.. seperti pencarian dokter terdekat di sekitar pasien
ABDUL KOHAR,5,2020-11-27 15:36:46,Pokok nya hebat bgt disini bisa kons.gratis ada yg bayar tp klo ga ada uang yg gratis juga ada
Sulistina Sitorus,4,2020-11-27 15:12:03,"aplikasi yg sangat membantu, sangat bagusss dan bermanfaat"
keysha aulia,1,2020-11-27 15:05:41,Kecewa bnget karna saya pesan tes rapid di jaksel Setelah bayar tiba tiba berubah di jakut
Rahmad Lubis 008,1,2020-11-27 15:03:32,"Kecewa banget sama HALODOC saya pesan untuk tes rapid Daerah Cilandak,,,, tapi setelah konfirmasi pembayaran tiba tiba saya di alihkan tes rapid ke daerah Sunter...kan GILAA itu namanya jaraknya 30 KILOMETER. Minta di batalin gak bisa wkwkwk Katanya harus 12 jam...gmn ceritanya 12 jam. Saya aja pesan rapid tes nya jam 22.00 lalu jadwalnya rapid jam 08.00 Dari jam 10 malam sampe jam 10 pagi kan itu cuma 10 jam jaraknya begooo Mana ada jarak 12 jam... Hati hati yg bikin jadwal janji di aplikasi in"
rouli ratnasari,5,2020-11-27 15:01:34,"Selama ini saya orang yg jarang kedokter krna takut disuntik dokternya hahaha. 2th lebih saya menggunakan aplikasi halodoc dan sudah beberapa kali konsul dgn berbagai dokter. Dari yang gratis sampe skrg bayar masih suka saya gunakan, terutama saat pandemi sperti ini. Aplikasi praktis, simpel dan hemat. tnpa perlu ke rumah sakit or klinik bisa konsultasi dokter dr segala penyakit, dapat resep langsung dan beli obat dr apotik..ga sampe sejam konsul dan obatpun tiba. Praktis kan hahaha."
Lutfi Effendi,4,2020-11-27 11:36:45,Sangat membantu sekali di an mempermudah pasien utk berkonsultasi
Sayid Danial,4,2020-11-27 11:11:07,"App nya bagus,tp kecewa dengan penempatan posisi alamat rumah di map selisih jauh, kalau bisa pengaturan alamat rumah manual aja"
aigoya X2,5,2020-11-27 09:56:39,Rekomendasi buat yang ingin cepat cari obat tanpa ada hambatan
Maulana Aditya,5,2020-11-27 07:53:31,"Aplikasi terhebat bagi saya. Tinggal klik-klik, konsultasi, dapat resep, sambil ngemil, resep diantar sampai depan rumah. Keren buanget pokoknya! Mantaapp! Dan apoteknya dicarikan yg terdekat dg rumah kita. Otomatis ongkir bisa menyesuaikan. TOP!!! Bintang 1000"
Adinda putri Fauziah,5,2020-11-27 07:39:59,Alhamdulilah konsultasi dengan dokter yang baik.. Semoga penjelasannya bisa membuat saya mengerti dan saya bisa positif hamil bulan ini Aaminn
desi wulandari,5,2020-11-27 06:27:04,"Beli obat jd mudah, butuh konsultasi masalah kesehatan jg mudah, terimakasih halodoc"
Rizqi Rahmawati,5,2020-11-27 03:40:28,Sangat membantu sekali dan chat dengan dokter sangat cepat respon yg d berikan
Laura AP,5,2020-11-27 01:27:04,"Sangat membantu sekali, semoga sukses selalu dan selalu membantu 😉"
Siti Aizah172,5,2020-11-26 23:45:27,"Sangat membantu ,, setidaknya klo chat an mau brtanya juga gk malu kalo ketemu lgsg suka ngebleng mau bertanya apa,, alodoc ini sangat membantu"
Dedi Tonga,5,2020-11-26 19:26:11,"Terima kasih banyak, atas aplikasi ini sangat membantu dan mencerahkan saya, tidak harus ke dokter untuk menanyakan resep tertentu cukup hanya install aplikasi ini bisa berkomunikasi dengan seluruh dokter di Indonesia, responnya sangat cepat dan tepat dalam menganalisis setiap dokumentasi yang saya kirimkan, melalui aplikasi ini saya suka mengunakan terima kasih yang membuat."
Asep Fathurrohman,5,2020-11-26 15:51:23,"Bermanfaat sekali, dokternya ramah 24 jam nonstop"
Cappu Cino,5,2020-11-26 15:41:49,"Good banget buat aplikasi ini, bisa langsung konsul sm dokter tanpa harus ke rs/puskesmas"
DEBY MEIDA,5,2020-11-26 13:46:04,"Sangat memuaskan, docter nya juga ramah ramah👍"
Minie Maestro,5,2020-11-26 13:34:36,"Sangat membantu disaat sedang panik krn anak sakit, terima kasih halodoc 🙏🙏🙏"
Haida Permatasari,5,2020-11-26 08:25:03,Fast respon. Dan jelas banget penjelasan dan solusinya 😊
go chnnl,5,2020-11-26 05:48:49,bagus banget dokternya ramah untuk mengasi tips tips lainny :)
Tri Harinni,5,2020-11-25 15:49:14,"aplikasi tepat disaat kondisi saat ini,,tanpa harus ke rumah sakit,klinik..semua ada dihalodoc👍🙏🙏"
rafka raditya,5,2020-11-25 11:10:50,"Aplikasi ini beneran ngebantu banget,dokter nya bener² ngebantu dan ngasih saran sumpah suka banget aplikasi ini ❤❤❤"
Isra Pudin,5,2020-11-25 10:04:04,Mantap Juga aplikasi halodoc ini. Pengiriman nya cepet dan rapih pesanan nya.sip dah poko nya. Hatur nuhun halodoc
Risma Elfirah,5,2020-11-25 01:24:13,Sangat membantu. Dokter nya juga ramah dan baik sekali..
weny Prihariyanti,5,2020-11-24 23:08:27,Sejauh ini pengalaman saya cukup membantu aplikasi ini di tengah pandemi...jadi tidak petlu repot ke RS untuk keluhan ringan seperti alergi dan flu....semoga semakin ditingkatkan untuk lebih baik
ahmad jacky,5,2020-11-24 22:43:25,"Bermanfaat,simple,tidak perlu antri ke Rs atau klinik,"
Ajeng Herwina,5,2020-11-24 22:10:03,"Bisa konsultasi, kapan darurat demam membawa anak periksa di RS, terimakasih halodoc membantu manjawab kekhawatiran."
Fariz Channel TV,1,2020-11-24 19:41:07,Bad aplikasi. Bagusan aplikasi sebelah 29.000/bulan. Disini mahal bgt 30rb/30menit. Not recommend
putri indah sari,5,2020-11-24 16:01:51,Kalau bisa di kasih filter untuk lokasi dokter nya yg terdekat
Loly Sepsiodarma,1,2020-11-24 13:54:05,Gw edit ya . Lama kelamaan dokternya kurang kualitas. Konsultasi cuek bgt ga solusi. Kurang tangkap.
Apip Haikal,5,2020-11-24 13:49:19,"Sangat rekomendasi, untuk keadaan seperti ini atau jika jauh dari RS bisa sangat sangat diandalkan. para dokter-nya sangat ahli di bidang-nya🙏"
KIKI KURNIAWAN,5,2020-11-24 09:54:58,Dokternya super ramah dan respon cepat... Trimakasih halodoc
Melina Ulfa Hayati,5,2020-11-24 09:39:45,Terima kasih respon dokternya cepat nyaman banget aplikasinya
Khavi life,5,2020-11-24 09:33:12,"Amat sangat membantu, dokternya juga fast respon. Terimakasih Halodoc"
Amaeyda Anggeraeni,5,2020-11-24 08:33:02,Aplikasi ini sangat bagus dan dokter-dokternya pun semua ramah😀😀
Irpan Susilo,5,2020-11-24 04:21:23,Barang cepat sampai dan tersegel
Alein Koda,5,2020-11-24 01:31:38,"Baru pertama kali konsul kesannya sangat baik, sangat membantu dan jelas."
Wahidcrb 3,4,2020-11-23 17:27:18,Aplikasinya berguna sekali bisa tanya keluhan yg kita rasa dan dapat resep obat yg bagus
vivi surya,5,2020-11-23 09:12:01,Aplikasi yang sangat membantu saat bingung dg masalah kesehatan. Dokternya juga fast respon
Neli Dayanti,5,2020-11-23 06:05:36,"Keren, dengan mudah bisa konsultasi sama dokter dan bisa tau masalahnya apa.."
Bambang Primadianto,5,2020-11-23 04:58:25,"Sangat membantu, biaya terjangkau"
Salsabila Syarifa,5,2020-11-22 12:07:07,Aplikasi yah sangat bagus.. dokternya ramah dan responnya sangat cepat.. terimakasih halodoc
Aisyatur Rohmawati,5,2020-11-22 11:35:47,"Aplikasi yg recommended, efektif dan menyenangkan"
SINUNG R. DEWANTO,5,2020-11-22 11:22:44,Mempermudah bli obat mudah dan cepat
Natasya Putri,5,2020-11-22 06:38:50,"Dokter nya ramah dan memberikan arahan dengan sangat baik serta cepat, terimakasih halodoc"
Jonas Onesiforus,5,2020-11-22 05:21:47,"Berkat aplikasi ini, saya dapat beli obat dengan sangat mudah, hanya dengan beberapa kali tekan, pesanan sudah berhasil, Terima-Kasih Halodoc🙏🏻"
IRMA MELINDA,5,2020-11-22 04:30:19,"Dokternya ramah😁, gampang nyari dokter spesialis😁, ga nyedot paket 😂, banyak dapat ilmu juga😁"
Imam Rusdianto,3,2020-11-22 00:12:48,terima kasih ...tp tidak bs beli dengan cash harus debit dan gopay dan perbaiki ini iklan muncul di layar handphone terus ketika hp di buka
vantae __,5,2020-11-21 22:58:11,Sangat membantu... dokter pun ramah saat berkonsultasi..
Hamzah Ibnu,5,2020-11-21 22:56:00,"Terimakasih, aplikasinya sangat membantu dengan aplikasi ini jadi lebih cepat diagnosa sakit apa dan resepnya bagaimana, semoga tetap baik pelayanannya"
muhammad vickry fratama,5,2020-11-21 20:18:24,"Aplikasih ini sangat bagus sekali ,tidak akan rugi yg mendowlod aplikasih ini.terimakasih ,semoga aplikasih ini selalu berjalan dgn baik😊"
Wida Aulia,5,2020-11-21 15:54:57,"Sangat membantu,respon yang diberikan sangat baik👍🏻"
Adline Pangestu,5,2020-11-21 12:12:58,Dokternya ramah sekali dan sangat membantu. Dikasih resep yang manjur.. Terimakasih
wulan kusma,5,2020-11-21 11:03:19,penjelasan cukup baik dan dimengerti
Jessica Arsita Florensya Eyale,5,2020-11-21 03:58:54,"Wajib banget download aplikasi ini, karena sangat membantu kita untuk mengetahui jenis sakit yang kita rasakan, the best untuk semua yang terlibat di dalam aplikasi ini 💙"
Mila Ningsih,5,2020-11-21 02:50:56,"Terima kasih telah membantu konsultasinya,,,lebih gampang dan lebih cepat cari solusinya,,, Sucses selalu🙏🙏🙏"
Cecep Koko,5,2020-11-20 12:22:13,"Karena lokasi pekerjaan yg jauh dari pusat kesehatan, dan di site pun tidak tersedia dokter yg bisa jadi rujukan, coba2 pakai halodoc dan kebetulan di layani sama dr agung, sangat membantu sekali...terimankasih"
ratih paramita,5,2020-11-20 11:54:50,"Terima kasih Dr. Canggih Naluri Fitriyasa, Sp. OG. Sesi konsultasinya jelas & memberikan informasi dengan bahasa yang baik & tidak membuat ketakutan berlebih. Terima kasih jg app Halodoc 👍"
Rizca Sandra,5,2020-11-20 11:11:35,Sangat praktis dan membantu
Nani Gibran,4,2020-11-20 06:23:08,Mau tanya ko ga bisa sambung kgopay ya untuk pembayaran nya .. salah pin terus transaksi gagal padahal bener pin gopay nya sebelum nya pernah lewat gopay lancar2 aja
Sekar Puri,4,2020-11-20 06:05:43,Bagus tapi pesanannya terkafang sama yang di pesan suka berbeda
Irin Sobirin,5,2020-11-20 05:23:03,"Saya senang adanya aplikasi ini ,,sangat membantu dan dokternya ramah terimakasih halodoc"
Yozza Putra,5,2020-11-20 02:57:46,Saya sudah berkali kali menggunakan aplikasi ini utk pribadi dan keluarga. Over all sangat membantu
Maryatun Maryatun,5,2020-11-20 02:38:21,"Aplikasi ini sangat bagus sekali Untuk mengkonsultasi kedokter, dokternya sangat baik"
Ahmad Taufik,5,2020-11-19 15:29:11,"Sangat, sangat membantu, pelayanannya bagus, komunikasinya bagus.jelas. Terima kasih Para Team Dokter"
M Maulana,4,2020-11-19 08:08:04,"Sangat bermanfaat banget untuk semua masyarakat, terima kasih halodoc"
Nur Eva Laily,1,2020-11-19 05:16:04,"Udah download, masukin no tlp sampe 2x ganti nomor eh ga juga dikirim kode otpnya Gimana mau pakenya ga bisa masuk. Ini apk bisa dipake ga si😌"
Rini nurhidayat,5,2020-11-19 04:57:09,"Sangat membantu, Dokternya juga sangat ramah & informatif 👍🏻"
Ros Niya,5,2020-11-19 03:39:32,"Dokternya menjelaskan dengan baik, aplikasi yg sangat membantu 👍, semoga kedepannya makin bagus👍"
Adinda Nazoela,5,2020-11-19 00:40:19,Sangat bagus tidak perlu ke RS resep obatnya juga detail sekali terimakasih halodoc 😊
Febrina Delia Putri,5,2020-11-18 21:43:22,"Aplikasi bagus, jadi lebih mudah konsul ke dokter tanpa ke tempat 🤗"
Sekar Jagad,5,2020-11-18 15:44:50,Dr.Dwi Nugroho sangat baik & sabar jg jelas dlm menjawab setiap pertanyaan jg dlm menjelaskan.. Salam sukses & bahagia selalu..
Muhammad Fauzi ifsah,5,2020-11-18 15:41:17,Trims untuk doc.fharenheit atas solusi nya.. Sangat membantu
Fie Hera,3,2020-11-18 13:55:15,"Maaf min, kasihnya bintang 3. Karena tidak ada jawaban yang berarti menurut saya 😓 hanya disuruh ke dokter, lalu sesi selesai."
Ibu Iskandar,5,2020-11-18 09:47:18,"Aplikasi yg sangat membantu, tapi utk harga obat apakah bisa sedikit lebih murah ya...??? .Terimakasih......😊🙏🏾"
listia intan,5,2020-11-18 08:39:49,"Terimakasih banyak, aplikasi ini sangatlah membantu, tidak hanya untuk diri sendiri melainkan untuk orang terdekat juga. Dan para dokter yang baik, ramah dan cepat merespon"
odi udn,5,2020-11-18 06:25:01,Penjelasanya sesuai dan sangat terbantu
Kautsar Refa,1,2020-11-18 05:12:40,"Ini gimana sih aplikasi saya udah bayar, tapi pas mau konsul error loading massage, padahal koneksi kenceng"
Sri Asih,5,2020-11-18 03:43:42,Alhamdulilah sangat membantu sekali dokternya juga sangat responsif terima kasih
Yandri Kauntu,5,2020-11-18 02:31:10,Sangat membantu. Ga perlu buang waktu travelling out kalau ternyata bisa diselesaikan by online saja.
Febiola Hutagalung,5,2020-11-17 15:02:46,Aplikasi yang sangat membantu Sya sangat terbantu dengan apk ini..
Nani Nurchayati,5,2020-11-17 07:10:04,Aplikasi sangat membantu.. Untuk berobat.. Trims
Siti zamroni,5,2020-11-17 04:16:46,sangat ramah. dan bahasanyapun mudah di mengerti. terimakasih dokter
Syamsul Bahri,5,2020-11-17 04:15:59,Aplikasi mudah di gunakan dan chatting nya memuaskan dan dokternya pun baik
Al Qari'ah,5,2020-11-17 04:01:17,"Sangat sangat sangat membantu untuk saya yang jarang dan tidak sempat ke rumah sakit hanya untuk berkonsultasi, dengan app ini, konsultasi lebih mudah, gratis pula.. walaupun ada yg bayar, muraaah banget."
Kho Man Hong,5,2020-11-17 04:00:06,Sangat membantu dlm konsul tanpa tatap muka
Siska Irmana Sari,4,2020-11-17 00:10:47,"Aplikasi yang sangat membantu,,, semoga banyak RS yg bekerja sama dengan aplikasi ini sehingga lebih memudahkan dalam memberikan pelayanan kesehatan kepada orang sakit khususnya"
ايوان,1,2020-11-17 00:00:03,"Maaf jika aku menilai sesuka ku dgn ALASAN tambahkan dokter dgn resep pengobatan secara alami dgn obat ripang. Ini indonesia subur penuh dgn rimpang dan obat' alami bukan tinggal di afrika. Hehehe Klo bsa jgn gunakan obat kimia, klo alami bsa mngatasi lebih baik"
Zakaria Arsyad,5,2020-11-16 23:47:09,"Aplikasinya membantu banget, rekomendasi banget buat yang perlu penanganan cepat soalnya dibalas oleh dokternya cepat banget.. Pokoknya mantafff dehhh.. 😇"
eko wahyudi,5,2020-11-16 18:21:57,Sngat membantu sekali . Apalgi dmalam hari responnya cepat.
Anton Prasetyo N,5,2020-11-16 17:25:02,"Mudah, layanan profesional dan murah"
Widia Oktariani,5,2020-11-16 13:54:04,"Sangat puas, dokternya sangat ramah dan respon nya sangat cepat"
Riza Fahru,5,2020-11-16 10:47:20,bisa lebih paham dan mengerti gk semua artikel itu bner. kadang cuma bisa bkin parnoan
Tito Wiga Tri Indrayatno,5,2020-11-16 07:03:14,Sangat terbantu dengan adanya aplikasi Halodoc
Deka Fathur Rahman,5,2020-11-16 05:31:34,"Aplikasi sangat membantu, jadi gak harus konsultasi ke klinik yang jauh kalau cuma sakit ringan, dan setelah konsultasi diberi resep obat dan bisa beli obat secara online"
Sandi R Maulana,5,2020-11-16 03:04:32,Ada yang enak dan bisa hemat pakai cap enak
Yunus Channel ID,5,2020-11-16 02:24:57,"Sangat Membantu Dalam Bidang Pengobatan Yg Terdesak saat Kita Butuhkan secepat nya , Terima kasih Telah Membantu"
Bambang,5,2020-11-16 01:17:35,sangat membantu jika butuh konsultasi dokter mendadak dan pesan obat jg
Jenni Januar,5,2020-11-16 00:59:18,"Lebih mudah, efisien waktu"
Ulin Hidayati,4,2020-11-15 17:33:29,"Cepat, mudah, efisien"
Agus Rainal,1,2020-11-15 16:42:04,Aplikasi suka lemot dan susah login tolong diperbaiki
Nadafajria Salsabilah,5,2020-11-15 15:14:19,Terimakasih sudah di permudahkan untuk informasi tentang kesehatan
Dewi Elyzanti,5,2020-11-15 14:56:10,Aplikasi yg bagus. Sangat membantu dripd harus ke klinik / puskesmas
Vani Barus,5,2020-11-15 05:09:20,Respon chat sangat cepat dan membantu
bender len,5,2020-11-15 04:14:28,Sangat membantu kapan saja dan tidak perlu keluar rmh
kristina hendrawan,4,2020-11-14 22:56:16,Respon cepat dan penjelasan yang ramah
Yk Pu,5,2020-11-14 17:22:53,"Apk yg membantu bgt. Tgh mlm lg urgent, yg tdk memungkinkan untuk keluar rumah, tetap ada dokter yg stay dan membantu. Cmn td kendala setelah proses verif otp dokter sibuk tp apk nya tetap loading cukup lama, aku kira akan dihubungkan ke dokter lain, tp krn terlalu lama jd paksa keluar. Coba chat dokter lain, masukkan numcard lg, sibuk, loading, hampir 4 dokter sibuk dan hrus ulng masukkan numcard. Saran mungkin kalau dokter sibuk bisa dihubkn ke dokter lain tnp masuk numcard ulang. Mksih."
Ainun Siti Wahyuni,5,2020-11-14 12:21:37,Membantu bangett untuk kalian yang butuh pencerahan tentang mental dan masih ragu untuk pergi ke psikolog langsung👍
Angel Hamber,5,2020-11-14 10:50:00,Bagus dan sangat membantu.. bayarnya juga murah banget.. sukses trus Halodoc
leideno eerstyano,5,2020-11-14 06:40:26,"aplikasi mudah digunakan, saat digunakan utk tes rapid free of charge. the best nih aplikasi"
Amara Choirus Sofa,5,2020-11-14 05:48:53,"Kerennn banget nih, dokternya baik, ramah, responnya juga sangat cepat. Terima kasih halodoc 😍😍"
Ina Rosliana,5,2020-11-14 03:29:12,Sangat membantu gak perlu ke dokter tinggal chat keluhan langsung di kasih resep alhamdulilah anak saya cocok
Frenky Pasaribu,5,2020-11-14 02:44:50,Baik. Dokter ramah dan penjelasan mudah dipahami
aunia stephan,4,2020-11-13 22:27:09,"Sebenernya aplikasi ini sangat membantu cuman sering banget dapetnya apotek yang jauh padahal yang Deket dan ada halodoc nya dengan radius lebih dekat ada, tapi malah dicariin yang 10km+ an Next please perbaiki ya kalo perlu kasih pilihan apotek nya setelah masukin alamat, jadi bisa pilih yang paling Deket atau langganan klien makasih"
Kurniawan Agus,5,2020-11-13 16:42:50,Sangat sederhana & membantu sekali... Sukses selalu buat para dokternya...👍
Aura ratu Hilmalia,4,2020-11-13 16:21:44,Sangat membantu dan pelayanannya juga ramah
Dista Dista,5,2020-11-13 16:03:40,Sangatt jelass dimengertii... cepett responnyaa namun masih bingung tempat feedbacknya
Faiqotul Himmah,5,2020-11-13 15:45:05,Sangat membantu sekali. Di saat pandemi sepertiini..
Regge Blues,5,2020-11-13 14:49:43,Sangat membantu untuk mengenali penyakit yang sedang d derita
RAF GAMER,5,2020-11-13 14:40:11,"Keren aplikasi ini sangat membantu pada saat mager,,sya sudah coba beberapa kali hasilnya memuaskan..terimakasih"
rido jati k,5,2020-11-13 13:54:09,Lancar dan mudah
andries norman,5,2020-11-13 09:05:59,Terima kasih untuk memberikan solusi kesehatan disaat pandemic sekarang ini Halodoc sangat diperlukan.#dirumahaja#
Della yulanda,5,2020-11-13 08:58:40,Pelayanannya cukup baik dan memuaskan
audrey dachriadi,5,2020-11-13 07:08:32,"Sangat membantu, apalagi apabila obat tersedia pada rekanan lgsg sampai depan rumah, maju terus halodoc"
nuke wiedha,5,2020-11-13 07:00:21,Sangat membantu sekali pesan dari rm bisa langsung antar.
Wahyu Kun,5,2020-11-13 06:42:30,App yg sangat membantu untuk konsuktasi kesehatan saya..
D Dhanif,4,2020-11-13 05:53:27,Sangat baik dan sangat membantu utk kecepatan baik proses pengambilan sampel maupun mdptkan konfirmasi hslnya..
