userName,score,at,content,cleaned_content,cleaning_data,stopword_comment,Normalization,Remove_noise
Futra Dwi,5,2022-05-02 04:12:20,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Afrizal Tanjung,5,2022-05-02 01:39:00,Aplikasi yg sangat membantu 24 jam,aplikasi yg sangat membantu 24 jam,aplikasi yg sangat membantu jam,aplikasi yg sangat membantu jam,aplikasi yang sangat membantu jam,aplikasi yang sangat membantu
Bayu Yusuf,5,2022-05-01 17:11:38,Membantu sekali,membantu sekali,membantu sekali,membantu sekali,membantu sekali,membantu sekali
Krista Tamba,5,2022-05-01 12:36:39,"Sangat membantu dan dr nya bagus, ramah","sangat membantu dan dr nya bagus, ramah",sangat membantu dan dr nya bagus  ramah,sangat membantu dan dr nya bagus ramah,sangat membantu dan dari nya bagus ramah,sangat membantu dan dari bagus ramah
anisia miagareta,5,2022-05-01 12:11:47,"Sangat membantu ketika butuh obat dalam waktu cepat, responsif dan benar² baik Sukses selalu Halodoc","sangat membantu ketika butuh obat dalam waktu cepat, responsif dan benar² baik sukses selalu halodoc",sangat membantu ketika butuh obat dalam waktu cepat  responsif dan benar baik sukses selalu halodoc,sangat membantu ketika butuh obat dalam waktu cepat responsif dan benar baik sukses selalu halodoc,sangat membantu ketika butuh obat dalam waktu cepat responsif dan benar baik sukses selalu halodoc,sangat membantu ketika butuh obat dalam waktu cepat responsif dan benar baik sukses selalu halodoc
rilyan hidayat,3,2022-05-01 12:01:05,"bagus sih, mempermudah kita dalam berkonsultasi dengan dokter mengenai penyakit yang di alami tapi sayangnya resep yang diberikan belum sepenuhnya diterima oleh apotek di seluruh indonesia seperti di wilayah timur, apoteker disana hanya menerima resep tertulis dan tidak menerima resep digital. Saya harap pihak halodoc dapat lebih memperkenalkan lagi mengenai aplikasi ini ke pihak-pihak apotek/apoteker yang ada di indonesia khususnya di wilayah timur indonesia. terima kasih","bagus sih, mempermudah kita dalam berkonsultasi dengan dokter mengenai penyakit yang di alami tapi sayangnya resep yang diberikan belum sepenuhnya diterima oleh apotek di seluruh indonesia seperti di wilayah timur, apoteker disana hanya menerima resep tertulis dan tidak menerima resep digital. saya harap pihak halodoc dapat lebih memperkenalkan lagi mengenai aplikasi ini ke pihak-pihak apotek/apoteker yang ada di indonesia khususnya di wilayah timur indonesia. terima kasih",bagus sih  mempermudah kita dalam berkonsultasi dengan dokter mengenai penyakit yang di alami tapi sayangnya resep yang diberikan belum sepenuhnya diterima oleh apotek di seluruh indonesia seperti di wilayah timur  apoteker disana hanya menerima resep tertulis dan tidak menerima resep digital  saya harap pihak halodoc dapat lebih memperkenalkan lagi mengenai aplikasi ini ke pihak pihak apotek apoteker yang ada di indonesia khususnya di wilayah timur indonesia  terima kasih,bagus sih mempermudah kita dalam berkonsultasi dengan dokter mengenai penyakit yang di alami tapi sayangnya resep yang diberikan belum sepenuhnya diterima oleh apotek di seluruh indonesia seperti di wilayah timur apoteker disana hanya menerima resep tertulis dan tidak menerima resep digital saya harap pihak halodoc dapat lebih memperkenalkan lagi mengenai aplikasi ini ke pihak pihak apotek apoteker yang ada di indonesia khususnya di wilayah timur indonesia terima kasih,bagus sih mempermudah kita dalam berkonsultasi dengan dokter mengenai penyakit yang di alami tapi sayangnya resep yang diberikan belum sepenuhnya diterima oleh apotek di seluruh indonesia seperti di wilayah timur apoteker disana hanya menerima resep tertulis dan tidak menerima resep digital saya harap pihak halodoc dapat lebih memperkenalkan lagi mengenai aplikasi ini ke pihak pihak apotek apoteker yang ada di indonesia khususnya di wilayah timur indonesia terima kasih,bagus mempermudah kita dalam berkonsultasi dengan dokter mengenai penyakit yang di alami tapi sayangnya resep yang diberikan belum sepenuhnya diterima oleh apotek di seluruh indonesia seperti di wilayah timur apoteker disana hanya menerima resep tertulis dan tidak menerima resep digital saya harap pihak halodoc dapat lebih memperkenalkan lagi mengenai aplikasi ini ke pihak pihak apotek apoteker yang ada di indonesia khususnya di wilayah timur indonesia terima kasih
Ama Liyah,5,2022-05-01 11:29:09,"It's really helpful, terutama bagi teman-teman yang mau berkonsultasi online sebelum memberanikan diri konsultasi offline, halodoc bisa bantu kita untuk memulai 🤗🤗","it's really helpful, terutama bagi teman-teman yang mau berkonsultasi online sebelum memberanikan diri konsultasi offline, halodoc bisa bantu kita untuk memulai 🤗🤗",it  really helpful  terutama bagi teman teman yang mau berkonsultasi online sebelum memberanikan diri konsultasi offline  halodoc bisa bantu kita untuk memulai   ,it realy helpful terutama bagi teman teman yang mau berkonsultasi online sebelum memberanikan diri konsultasi ofline halodoc bisa bantu kita untuk memulai ,it realy helpful terutama bagi teman teman yang mau berkonsultasi online sebelum memberanikan diri konsultasi ofline halodoc bisa bantu kita untuk memulai,it realy helpful terutama bagi teman teman yang berkonsultasi online sebelum memberanikan diri konsultasi ofline halodoc bisa bantu kita untuk memulai
Ahmad hafidz,5,2022-05-01 06:46:36,"Hebat,akurat,ramah","hebat,akurat,ramah",hebat akurat ramah,hebat akurat ramah,hebat akurat ramah,hebat akurat ramah
burton msihombing,5,2022-05-01 01:20:11,Bagus dan ramah,bagus dan ramah,bagus dan ramah,bagus dan ramah,bagus dan ramah,bagus dan ramah
Kenny Ahmad Fahrezy,5,2022-04-30 17:17:44,Membantu karna dapat memesan obat,membantu karna dapat memesan obat,membantu karna dapat memesan obat,membantu karna dapat memesan obat,membantu karena dapat memesan obat,membantu karena dapat memesan obat
Ummi Akhyar Familys,5,2022-04-30 12:20:52,Alhamdulillah puas konsul via dokter spesialis disini,alhamdulillah puas konsul via dokter spesialis disini,alhamdulillah puas konsul via dokter spesialis disini,alhamdulilah puas konsul via dokter spesialis disini,alhamdulilah puas konsul via dokter spesialis disini,alhamdulilah puas konsul dokter spesialis disini
Tri Sutrisno,5,2022-04-30 12:02:00,"Mudah dan gampang, tidak perlu mengantri ke RS atau tempat praktek dokter lgi, cukup lewat app ini kita sudah bisa memdapatkan pelayanan terbaik","mudah dan gampang, tidak perlu mengantri ke rs atau tempat praktek dokter lgi, cukup lewat app ini kita sudah bisa memdapatkan pelayanan terbaik",mudah dan gampang  tidak perlu mengantri ke rs atau tempat praktek dokter lgi  cukup lewat app ini kita sudah bisa memdapatkan pelayanan terbaik,mudah dan gampang tidak perlu mengantri ke rs atau tempat praktek dokter lgi cukup lewat ap ini kita sudah bisa memdapatkan pelayanan terbaik,mudah dan gampang tidak perlu mengantri ke rumah sakit atau tempat praktek dokter lagi cukup lewat apa ini kita sudah bisa memdapatkan pelayanan terbaik,mudah dan gampang tidak perlu mengantri ke rumah sakit atau tempat praktek dokter lagi cukup lewat apa ini kita sudah bisa memdapatkan pelayanan terbaik
Rendika Fadel,5,2022-04-30 12:01:58,Bagus dokternya ramah ramah,bagus dokternya ramah ramah,bagus dokternya ramah ramah,bagus dokternya ramah ramah,bagus dokternya ramah ramah,bagus dokternya ramah ramah
Alayya GP,5,2022-04-30 11:46:06,Pelayanan yang cepat,pelayanan yang cepat,pelayanan yang cepat,pelayanan yang cepat,pelayanan yang cepat,pelayanan yang cepat
Liana Jahja Taru,4,2022-04-30 10:34:53,Update yang makan waktu lama,update yang makan waktu lama,update yang makan waktu lama,update yang makan waktu lama,update yang makan waktu lama,update yang makan waktu lama
Widya Ir,1,2022-04-30 08:10:02,"Pesanan obatnya gak sampai2 sudah beberapa jam, sementara obatnya sangat dibutuhkan untuk anak saya","pesanan obatnya gak sampai2 sudah beberapa jam, sementara obatnya sangat dibutuhkan untuk anak saya",pesanan obatnya gak sampai sudah beberapa jam  sementara obatnya sangat dibutuhkan untuk anak saya,pesanan obatnya gak sampai sudah beberapa jam sementara obatnya sangat dibutuhkan untuk anak saya,pesanan obatnya tidak sampai sudah beberapa jam sementara obatnya sangat dibutuhkan untuk anak saya,pesanan obatnya tidak sampai sudah beberapa sementara obatnya sangat dibutuhkan untuk anak saya
Ahmad Driver,5,2022-04-30 08:09:25,Agar lebih baik lagi,agar lebih baik lagi,agar lebih baik lagi,agar lebih baik lagi,agar lebih baik lagi,agar lebih baik lagi
Supriyadi Eko Prasetiyo,5,2022-04-30 07:52:09,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Ridho Ferdian,1,2022-04-30 05:53:34,"Pertama kali pakai Halodoc hari ini, langsung KECEWA.. bikin jadwal Dokter di RS Evasari, H-1 sdh dikonfirm, bahkan 1 jam sebelumnya juga sudah di ingatkan untuk kita sebagai pasien agar datang lebih awal setengah jam. Eh ketika sampai RS ternyata dokternya ga ada dan berhalangan hadir, informasi terjadi pembatalan setelah saya sampai di RS , dan ajukan komplain. Kami pakai aplikasi ini, berarti kami memang butuh penanganan ataupun perobatan. Bukan sekedar iseng-iseng yaaa.!","pertama kali pakai halodoc hari ini, langsung kecewa.. bikin jadwal dokter di rs evasari, h-1 sdh dikonfirm, bahkan 1 jam sebelumnya juga sudah di ingatkan untuk kita sebagai pasien agar datang lebih awal setengah jam. eh ketika sampai rs ternyata dokternya ga ada dan berhalangan hadir, informasi terjadi pembatalan setelah saya sampai di rs , dan ajukan komplain. kami pakai aplikasi ini, berarti kami memang butuh penanganan ataupun perobatan. bukan sekedar iseng-iseng yaaa.!",pertama kali pakai halodoc hari ini  langsung kecewa   bikin jadwal dokter di rs evasari    sdh dikonfirm  bahkan jam sebelumnya juga sudah di ingatkan untuk kita sebagai pasien agar datang lebih awal setengah jam  eh ketika sampai rs ternyata dokternya ga ada dan berhalangan hadir  informasi terjadi pembatalan setelah saya sampai di rs   dan ajukan komplain  kami pakai aplikasi ini  berarti kami memang butuh penanganan ataupun perobatan  bukan sekedar iseng iseng yaaa  ,pertama kali pakai halodoc hari ini langsung kecewa bikin jadwal dokter di rs evasari sdh dikonfirm bahkan jam sebelumnya juga sudah di ingatkan untuk kita sebagai pasien agar datang lebih awal setengah jam eh ketika sampai rs ternyata dokternya ga ada dan berhalangan hadir informasi terjadi pembatalan setelah saya sampai di rs dan ajukan komplain kami pakai aplikasi ini berarti kami memang butuh penanganan ataupun perobatan bukan sekedar iseng iseng ya ,pertama kali pakai halodoc hari ini langsung kecewa bikin jadwal dokter di rumah sakit evasari sudah dikonfirm bahkan jam sebelumnya juga sudah di ingatkan untuk kita sebagai pasien agar datang lebih awal setengah jam eh ketika sampai rumah sakit ternyata dokternya tidak ada dan berhalangan hadir informasi terjadi pembatalan setelah saya sampai di rumah sakit dan ajukan komplain kami pakai aplikasi ini berarti kami memang butuh penanganan ataupun perobatan bukan sekedar iseng iseng iya,pertama kali pakai halodoc hari ini langsung kecewa bikin jadwal dokter di rumah sakit evasari sudah dikonfirm bahkan sebelumnya juga sudah di ingatkan untuk kita sebagai pasien agar datang lebih awal setengah ketika sampai rumah sakit ternyata dokternya tidak ada dan berhalangan hadir informasi terjadi pembatalan setelah saya sampai di rumah sakit dan ajukan komplain kami pakai aplikasi ini berarti kami memang butuh penanganan ataupun perobatan bukan sekedar iseng iseng
Ibnu Yuliantoro,5,2022-04-30 04:31:23,"Aplikasi yg sangat bermanfaat, semoga kedepannya lebih berkembang lagi","aplikasi yg sangat bermanfaat, semoga kedepannya lebih berkembang lagi",aplikasi yg sangat bermanfaat  semoga kedepannya lebih berkembang lagi,aplikasi yg sangat bermanfat semoga kedepanya lebih berkembang lagi,aplikasi yang sangat bermanfat semoga kedepanya lebih berkembang lagi,aplikasi yang sangat bermanfat semoga kedepanya lebih berkembang lagi
Frida Elisabet,5,2022-04-30 02:42:46,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
nataliea hidayat,5,2022-04-30 01:27:49,"Senang menggunakan aplikasi ini, sangat mudah dan simple","senang menggunakan aplikasi ini, sangat mudah dan simple",senang menggunakan aplikasi ini  sangat mudah dan simple,senang mengunakan aplikasi ini sangat mudah dan simple,senang mengunakan aplikasi ini sangat mudah dan simple,senang mengunakan aplikasi ini sangat mudah dan simple
haryadi79sepandu@gmail.com haryadi,5,2022-04-29 21:51:00,Mantap sangat puas,mantap sangat puas,mantap sangat puas,mantap sangat puas,mantap sangat puas,mantap sangat puas
hanan mafazi,5,2022-04-29 14:07:37,mantap pelayanannya,mantap pelayanannya,mantap pelayanannya,mantap pelayananya,mantap pelayananya,mantap pelayananya
Dea Soraya S.,5,2022-04-29 12:02:24,"Good aplikasi, seneng deh bisa konsultasi kapan aja","good aplikasi, seneng deh bisa konsultasi kapan aja",good aplikasi  seneng deh bisa konsultasi kapan aja,god aplikasi seneng deh bisa konsultasi kapan aja,god aplikasi seneng deh bisa konsultasi kapan saja,god aplikasi seneng bisa konsultasi kapan saja
Siti Khafidzah Cholil,5,2022-04-29 12:01:13,"Terima kasih halodoc dan dokter Corry khathreen, sangat membantu sekali","terima kasih halodoc dan dokter corry khathreen, sangat membantu sekali",terima kasih halodoc dan dokter corry khathreen  sangat membantu sekali,terima kasih halodoc dan dokter cory khathren sangat membantu sekali,terima kasih halodoc dan dokter cory khathren sangat membantu sekali,terima kasih halodoc dan dokter cory khathren sangat membantu sekali
Rido Marini,5,2022-04-29 11:59:31,"Terima kasih ya dokter,semoga dokter di indonesia sehat dan bahagia terus ya.amin...","terima kasih ya dokter,semoga dokter di indonesia sehat dan bahagia terus ya.amin...",terima kasih ya dokter semoga dokter di indonesia sehat dan bahagia terus ya amin   ,terima kasih ya dokter semoga dokter di indonesia sehat dan bahagia terus ya amin ,terima kasih iya dokter semoga dokter di indonesia sehat dan bahagia terus iya amin,terima kasih dokter semoga dokter di indonesia sehat dan bahagia terus amin
ONTEW,5,2022-04-29 05:35:45,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
nadiah kamal,3,2022-04-29 02:19:43,"Sudah berberapa kali buat janji temu dgn dokter, tp tidak dpt diproses","sudah berberapa kali buat janji temu dgn dokter, tp tidak dpt diproses",sudah berberapa kali buat janji temu dgn dokter  tp tidak dpt diproses,sudah berberapa kali buat janji temu dgn dokter tp tidak dpt diproses,sudah berberapa kali buat janji temu dengan dokter tapi tidak dapat diproses,sudah berberapa kali buat janji temu dengan dokter tapi tidak dapat diproses
Hafiz Rizka A,5,2022-04-29 01:28:19,Bagus g perlu ke klinik mudah gampang dokternya juga enak buat konsul,bagus g perlu ke klinik mudah gampang dokternya juga enak buat konsul,bagus perlu ke klinik mudah gampang dokternya juga enak buat konsul,bagus perlu ke klinik mudah gampang dokternya juga enak buat konsul,bagus perlu ke klinik mudah gampang dokternya juga enak buat konsul,bagus perlu ke klinik mudah gampang dokternya juga enak buat konsul
Vivi Thamrin,5,2022-04-29 00:37:20,"Penjelasan pas konsulnya detail, terima kasih dokter","penjelasan pas konsulnya detail, terima kasih dokter",penjelasan pas konsulnya detail  terima kasih dokter,penjelasan pas konsulnya detail terima kasih dokter,penjelasan pas konsulnya detail terima kasih dokter,penjelasan konsulnya detail terima kasih dokter
Hasna Halimatur R,4,2022-04-28 23:20:11,"Sangat membantu untuk tidak panik, krn bisa langsung tanya jawab dg dokter yg ahli","sangat membantu untuk tidak panik, krn bisa langsung tanya jawab dg dokter yg ahli",sangat membantu untuk tidak panik  krn bisa langsung tanya jawab dg dokter yg ahli,sangat membantu untuk tidak panik krn bisa langsung tanya jawab dg dokter yg ahli,sangat membantu untuk tidak panik karena bisa langsung tanya jawab dengan dokter yang ahli,sangat membantu untuk tidak panik karena bisa langsung tanya jawab dengan dokter yang ahli
Creationsip,2,2022-04-28 21:56:16,"Coba chat sama dokter hewan, udh bayar biaya konsul tp chat ga terhubung terus saya keluar pengen coba chat dokter lain kirain msih bisa pakai biaya yg ketarik tadi. Eh malah harus bayar lagi. Konsul engga, kepotong biaya iya. Hadeuhh!","coba chat sama dokter hewan, udh bayar biaya konsul tp chat ga terhubung terus saya keluar pengen coba chat dokter lain kirain msih bisa pakai biaya yg ketarik tadi. eh malah harus bayar lagi. konsul engga, kepotong biaya iya. hadeuhh!",coba chat sama dokter hewan  udh bayar biaya konsul tp chat ga terhubung terus saya keluar pengen coba chat dokter lain kirain msih bisa pakai biaya yg ketarik tadi  eh malah harus bayar lagi  konsul engga  kepotong biaya iya  hadeuhh ,coba chat sama dokter hewan udh bayar biaya konsul tp chat ga terhubung terus saya keluar pengen coba chat dokter lain kirain msih bisa pakai biaya yg ketarik tadi eh malah harus bayar lagi konsul enga kepotong biaya iya hadeuh ,coba chat sama dokter hewan sudah bayar biaya konsul tapi chat tidak terhubung terus saya keluar ingin coba chat dokter lain kirain msih bisa pakai biaya yang ketarik tadi eh bahkan harus bayar lagi konsul enga kepotong biaya iya hadeuh,coba chat sama dokter hewan sudah bayar biaya konsul tapi chat tidak terhubung terus saya keluar ingin coba chat dokter lain kirain msih bisa pakai biaya yang ketarik tadi bahkan harus bayar lagi konsul enga kepotong biaya hadeuh
siti humairoh,5,2022-04-28 17:19:45,Aplikasi nya bagus,aplikasi nya bagus,aplikasi nya bagus,aplikasi nya bagus,aplikasi nya bagus,aplikasi bagus
ade wahyu,5,2022-04-28 15:22:46,Sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali
mulyana leni,4,2022-04-28 14:26:50,Aplikasi yg sangat membantu.,aplikasi yg sangat membantu.,aplikasi yg sangat membantu ,aplikasi yg sangat membantu ,aplikasi yang sangat membantu,aplikasi yang sangat membantu
agung prasetyo,5,2022-04-28 14:16:11,"Periksa kesehatan ga perlu ribet antri, cukup sambil tiduran di rumah dan obat langsung datang","periksa kesehatan ga perlu ribet antri, cukup sambil tiduran di rumah dan obat langsung datang",periksa kesehatan ga perlu ribet antri  cukup sambil tiduran di rumah dan obat langsung datang,periksa kesehatan ga perlu ribet antri cukup sambil tiduran di rumah dan obat langsung datang,periksa kesehatan tidak perlu ribet antri cukup sambil tiduran di rumah dan obat langsung datang,periksa kesehatan tidak perlu ribet antri cukup sambil tiduran di rumah dan obat langsung datang
Desy Anisa,5,2022-04-28 12:57:48,Dokternya respon dengan baik,dokternya respon dengan baik,dokternya respon dengan baik,dokternya respon dengan baik,dokternya respon dengan baik,dokternya respon dengan baik
Yesika Wardani,5,2022-04-28 12:30:13,Aplikasi sangat bermanfaat dan membantu pasien.,aplikasi sangat bermanfaat dan membantu pasien.,aplikasi sangat bermanfaat dan membantu pasien ,aplikasi sangat bermanfat dan membantu pasien ,aplikasi sangat bermanfat dan membantu pasien,aplikasi sangat bermanfat dan membantu pasien
Muhamad Galang Isnawan,5,2022-04-28 08:03:57,Cukup membantu,cukup membantu,cukup membantu,cukup membantu,cukup membantu,cukup membantu
Arizki Witaradianingtias,4,2022-04-28 02:39:22,"Kenapa saya kasih bintang 4, krn baru pertama x coba semoga selalu amanah ya halodoc sangat membantu sekali.","kenapa saya kasih bintang 4, krn baru pertama x coba semoga selalu amanah ya halodoc sangat membantu sekali.",kenapa saya kasih bintang   krn baru pertama coba semoga selalu amanah ya halodoc sangat membantu sekali ,kenapa saya kasih bintang krn baru pertama coba semoga selalu amanah ya halodoc sangat membantu sekali ,kenapa saya kasih bintang karena baru pertama coba semoga selalu amanah iya halodoc sangat membantu sekali,kenapa saya kasih bintang karena baru pertama coba semoga selalu amanah halodoc sangat membantu sekali
Yayu Manggala,1,2022-04-28 02:32:14,"sangat jelek , bayar buat 1jam konsul online tapi ga dibales , masalah belum kelar keburu abis waktunya","sangat jelek , bayar buat 1jam konsul online tapi ga dibales , masalah belum kelar keburu abis waktunya",sangat jelek   bayar buat jam konsul online tapi ga dibales   masalah belum kelar keburu abis waktunya,sangat jelek bayar buat jam konsul online tapi ga dibales masalah belum kelar keburu abis waktunya,sangat jelek bayar buat jam konsul online tapi tidak dibales masalah belum kelar terlanjur habis waktunya,sangat jelek bayar buat konsul online tapi tidak dibales masalah belum kelar terlanjur habis waktunya
Elly nursafari Oktafia,3,2022-04-28 00:08:35,"Ini udah bagus, tp sayang bgt pengambilan obat nya jauh dr tempat tinggal,.ga bisa buat dadakan. Trus kasian driver nya sih. Apotek K-24 pdhl ada yg dkt daerah sini, tp dpt nya jauh bgt hahahaha","ini udah bagus, tp sayang bgt pengambilan obat nya jauh dr tempat tinggal,.ga bisa buat dadakan. trus kasian driver nya sih. apotek k-24 pdhl ada yg dkt daerah sini, tp dpt nya jauh bgt hahahaha",ini udah bagus  tp sayang bgt pengambilan obat nya jauh dr tempat tinggal  ga bisa buat dadakan  trus kasian driver nya sih  apotek   pdhl ada yg dkt daerah sini  tp dpt nya jauh bgt hahahaha,ini udah bagus tp sayang bgt pengambilan obat nya jauh dr tempat tingal ga bisa buat dadakan trus kasian driver nya sih apotek pdhl ada yg dkt daerah sini tp dpt nya jauh bgt hahahaha,ini sudah bagus tapi sayang banget pengambilan obat nya jauh dari tempat tingal tidak bisa buat dadakan terus kasian driver nya sih apotek padahal ada yang dekat daerah sini tapi dapat nya jauh banget hahahaha,ini sudah bagus tapi sayang banget pengambilan obat jauh dari tempat tingal tidak bisa buat dadakan terus kasian driver apotek padahal ada yang dekat daerah sini tapi dapat jauh banget
Jennifer Oktavianis,5,2022-04-28 00:07:17,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Haryono Haryono,5,2022-04-27 22:48:12,Sangat puas dengan halodoc bs Konsul dokter tanpa harus keluar rumah,sangat puas dengan halodoc bs konsul dokter tanpa harus keluar rumah,sangat puas dengan halodoc bs konsul dokter tanpa harus keluar rumah,sangat puas dengan halodoc bs konsul dokter tanpa harus keluar rumah,sangat puas dengan halodoc bisa konsul dokter tanpa harus keluar rumah,sangat puas dengan halodoc bisa konsul dokter tanpa harus keluar rumah
adzka hidayatullah,5,2022-04-27 21:43:30,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Aziz Angga,5,2022-04-27 17:31:53,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
herdi heatt,5,2022-04-27 14:51:49,Membantu sekali trims banyak,membantu sekali trims banyak,membantu sekali trims banyak,membantu sekali trims banyak,membantu sekali terima kasih banyak,membantu sekali terima kasih banyak
Riza Zakaria,5,2022-04-27 14:32:17,Aplikasi yang sangat baguss!,aplikasi yang sangat baguss!,aplikasi yang sangat baguss ,aplikasi yang sangat bagus ,aplikasi yang sangat bagus,aplikasi yang sangat bagus
ami aisiahibrahim,1,2022-04-27 14:10:47,"Saya sudah melakukan pembayaran tapi status nya masih belum berubah, masih terkonfirmasi, chat bantuannya juga error mulu. Heran","saya sudah melakukan pembayaran tapi status nya masih belum berubah, masih terkonfirmasi, chat bantuannya juga error mulu. heran",saya sudah melakukan pembayaran tapi status nya masih belum berubah  masih terkonfirmasi  chat bantuannya juga error mulu  heran,saya sudah melakukan pembayaran tapi status nya masih belum berubah masih terkonfirmasi chat bantuanya juga eror mulu heran,saya sudah melakukan pembayaran tapi status nya masih belum berubah masih terkonfirmasi chat bantuanya juga eror melulu heran,saya sudah melakukan pembayaran tapi status masih belum berubah masih terkonfirmasi chat bantuanya juga eror melulu heran
Wahyu Uyhaw,4,2022-04-27 13:51:54,"Aplikasi yang sangat membantu, mudah menemukan dokter dan konsultasi kesehatan...","aplikasi yang sangat membantu, mudah menemukan dokter dan konsultasi kesehatan...",aplikasi yang sangat membantu  mudah menemukan dokter dan konsultasi kesehatan   ,aplikasi yang sangat membantu mudah menemukan dokter dan konsultasi kesehatan ,aplikasi yang sangat membantu mudah menemukan dokter dan konsultasi kesehatan,aplikasi yang sangat membantu mudah menemukan dokter dan konsultasi kesehatan
Dokter Matic,1,2022-04-27 13:37:45,"ini gmna minta bantuan pembatalan chat hilang sendiri,riwayat pesanan tiba2 hilang di beranda,,,tolong dong,kan gak tau situasi yg mesan obat lgi gmna,jangan dibuat menggantung bgini...","ini gmna minta bantuan pembatalan chat hilang sendiri,riwayat pesanan tiba2 hilang di beranda,,,tolong dong,kan gak tau situasi yg mesan obat lgi gmna,jangan dibuat menggantung bgini...",ini gmna minta bantuan pembatalan chat hilang sendiri riwayat pesanan tiba hilang di beranda   tolong dong kan gak tau situasi yg mesan obat lgi gmna jangan dibuat menggantung bgini   ,ini gmna minta bantuan pembatalan chat hilang sendiri riwayat pesanan tiba hilang di beranda tolong dong kan gak tau situasi yg mesan obat lgi gmna jangan dibuat mengantung bgini ,ini bagaimana minta bantuan pembatalan chat hilang sendiri riwayat pesanan tiba hilang di beranda tolong dong kan tidak tahu situasi yang mesan obat lagi bagaimana jangan dibuat mengantung begini,ini bagaimana minta bantuan pembatalan chat hilang sendiri riwayat pesanan tiba hilang di beranda tolong dong tidak tahu situasi yang mesan obat lagi bagaimana jangan dibuat mengantung begini
Firdza pradhika igfirly,5,2022-04-27 12:21:07,Sangat membantu disaat genting dan mepet,sangat membantu disaat genting dan mepet,sangat membantu disaat genting dan mepet,sangat membantu disat genting dan mepet,sangat membantu disat genting dan dekat sekali,sangat membantu disat genting dan dekat sekali
ERieY Febianto,5,2022-04-27 09:16:36,Mantap...pelayanan obat cepat respon,mantap...pelayanan obat cepat respon,mantap   pelayanan obat cepat respon,mantap pelayanan obat cepat respon,mantap pelayanan obat cepat respon,mantap pelayanan obat cepat respon
desya bonita,5,2022-04-27 08:59:58,Bagus menanggapi keluhan pasien,bagus menanggapi keluhan pasien,bagus menanggapi keluhan pasien,bagus menangapi keluhan pasien,bagus menangapi keluhan pasien,bagus menangapi keluhan pasien
Dian Rahayu Alani,5,2022-04-27 07:02:07,sangat membantu 🥺👍,sangat membantu 🥺👍,sangat membantu   ,sangat membantu ,sangat membantu,sangat membantu
Tiara Ika,5,2022-04-27 05:58:22,Sangat sangat membantu dokternya ramah2,sangat sangat membantu dokternya ramah2,sangat sangat membantu dokternya ramah,sangat sangat membantu dokternya ramah,sangat sangat membantu dokternya ramah,sangat sangat membantu dokternya ramah
Sardi U,5,2022-04-27 02:34:26,"Pelayanan chat dokternya cepat respon, dan ramah ramah","pelayanan chat dokternya cepat respon, dan ramah ramah",pelayanan chat dokternya cepat respon  dan ramah ramah,pelayanan chat dokternya cepat respon dan ramah ramah,pelayanan chat dokternya cepat respon dan ramah ramah,pelayanan chat dokternya cepat respon dan ramah ramah
Bunda Fadhil,5,2022-04-27 02:20:54,"Sangat membantu,trimakasih","sangat membantu,trimakasih",sangat membantu trimakasih,sangat membantu trimakasih,sangat membantu trimakasih,sangat membantu trimakasih
Erni Agustini,1,2022-04-27 01:49:50,Sy batalin appoinment sm dokter. Sy transaksi menggunakan Card. Buset deh itu dana gak balik2 sampe 5 hari. Pas konfirmasi suruh tunggu lg 2x24 jam. Astaga...,sy batalin appoinment sm dokter. sy transaksi menggunakan card. buset deh itu dana gak balik2 sampe 5 hari. pas konfirmasi suruh tunggu lg 2x24 jam. astaga...,sy batalin appoinment sm dokter  sy transaksi menggunakan card  buset deh itu dana gak balik sampe hari  pas konfirmasi suruh tunggu lg jam  astaga   ,sy batalin apoinment sm dokter sy transaksi mengunakan card buset deh itu dana gak balik sampe hari pas konfirmasi suruh tungu lg jam astaga ,saya batalin apoinment sama dokter saya transaksi mengunakan card buset deh itu dana tidak balik sampai hari pas konfirmasi suruh tungu lagi jam astaga,saya batalin apoinment sama dokter saya transaksi mengunakan card buset itu dana tidak balik sampai hari konfirmasi suruh tungu lagi astaga
faiza lathifa,5,2022-04-27 01:21:52,Mudah dan bagus,mudah dan bagus,mudah dan bagus,mudah dan bagus,mudah dan bagus,mudah dan bagus
