Remove_noise,sentimen,sentimen_negatif,sentimen_netral,sentimen_positif
aplikasi halodoc sangat membantu saya emak anak yang lagi sakit tidak perlu keluar rumah bisa konsul sama dokternya baik banget malahan dapat resep lagi sudah tidak khawatir lagi tidak perlu ke rumah sakit ketemu banyak orang,negatif,1,0,0
sangat baik dan ramah dalam memberikan pelayanan dan penjelasan,positif,0,0,1
benar aplikasi yang sangat bagus dan berguna pada kondisi sat ini,netral,0,1,0
pesanan dibatalkan sepihak saldo sampai lama belum kembali juga halodoc sebenernya niatnya bantu apa bahkan nyusain jadi bingung belum lagi ada orderan yang ternyta masih nungu sampai hari niatnya urgent jadi nungu lama seharunya kalau memang kondisi barang jauh jangan ditampilkan bukanya halodoc membantu lebih cepat ini bahkan lama,negatif,1,0,0
pelayanan baik dan cepat usul mungkin boleh untuk angota idi tidak perlu melampirkan resep dokter hanya npa atau cukup foto kta trimakasih,positif,0,0,1
disat pandemi seperti ini kami tidak perlu keluar rumah untuk mencari obat terima kasih atas pelayananya halodoc memang best,negatif,1,0,0
halo doc apa kabar pesanan saya yang kurang nomor laporan saya sudah lima hari belum ada kabarnya,negatif,1,0,0
proses pengembalian dana tidak jadi pcr saya sudah hampir bulan tidak ada kejelasan kondisi sat ini uang segitu cukup berharga bukanya membantu malam membuat makin susah saja ini,negatif,1,0,0
pelayananx bagus dan responya cepat,positif,0,0,1
iklan kamu spam di youtube mana di skip tidak bisa apk tidak berguna,negatif,1,0,0
kalau ada masalah lama banget ditanganinya laporan juli selesai juli chat butuh biar dibales email juga lama telpon mengantri kadang kalau nungu sudah lama menitan keputus masalah juga selesai saya sudah bawel terus semoga lebih fast respon apalagi kalau jadi partner kesehatan kala pandemi begini terima kasih anyway,negatif,1,0,0
saya pesen obat sampai sekarang tanggal belum di kirim saya kasih koment bahkan koment saya yang di takedown kasih solusi jangan lewat ini nasalah obat saudara laki-laki ini tanggal juga belum balek duitnya suruh hub tapi slow respon sudah take down saja aplikasi penipu ini,negatif,1,0,0
dibalas dengan cepat oleh pihak dokter dan alhamdulilah sejauh ini cocok dengan resep obatnya terima kasih dokter dan halodoc,positif,0,0,1
barang tidak kunjung datang akhirnya cancel tapi refund tidak jelas informasinya tolong untuk diperbaiki aplikasinya,negatif,1,0,0
tolong untuk fitur pencarian rekomendasi lokasi agar yang terdekat atau paling tidak masih wilayah atau kota karena untuk sat ini rekomendasi dari aplikasi bisa sangat jauh kalau memang tidak ada ditulis saja tidak ada contohnya sat saya ketik tag lokasi di daerah gresik jatim yang direkomendasikan bahkan daerah depok jateng terimakasih,negatif,1,0,0
obat yang diresep dokter kbnyakan kosong percuma juga kalau konsultasi di resepin obat tapi tidak bisa ditebus krna stok kosong ambil di apotik lain juga tidak nerima resep dari halodoc,negatif,1,0,0
sangat suka konsultasi dengan dokter dokter di halodoc sangat membantu terimakasih halodoc,positif,0,0,1
apk ini sangat membantu saya dan keluarga di sat kondisi genting apalagi disat pandemi seperti ini terima kasih halodoc,positif,0,0,1
bagus memudahkan beli obat tanpa perlu keliling apotik hanya saja obat yang ada kurang lengkap,negatif,1,0,0
cepat dilayani dan menjawab pertanyan dengan cepat,positif,0,0,1
fast respon dokternya ramah aplikasinya tidak bertele,netral,0,1,0
saya ganti jadi bintang dulu baru kali ini saya kayak keracunan obat muntah terus niat sembuhkan mual bahkan keluar semua isi perut,negatif,1,0,0
saya baru download aplikasinya untuk keperluan vaksi dari aplikasi gojek driver tapi kenapa tidak bisa di pencet di geser geser sama sekali ada kendala atau bagaimana,negatif,1,0,0
aplikasi yang sangat buruk pesan obat selalu gagal di pembayaran lalu saldo di walet tidak bisa di tarik kembali sudah chat serta kirim email tapi sama sekali tidak ada jawaban,netral,0,1,0
sangat tidak responsif lihat ulasan yang lain banyak juga korbanya profesional aplikasi ini bukan membantu tapi mempersulit,negatif,1,0,0
cepat tepat akurat bagi pejuang pasien covid yang isoman mantap banget aplikasi ini,netral,0,1,0
pengembalian dana belum balik sudah hari obat belum sampai sudah hari separah itukah terus ditelpon customer service tidak angkat yang ada pulsa kesedot,netral,0,1,0
dikasih waktu konsul gratis cuma beberapa menit dimenit terakhir baru dibalas terus parah lagi saya tanya dokter soal penyakit saya tapi bahkan di tanya balik dokter saya yang sebelum bilang apa soal penyakit saya bagaimana sama saja bohong saya tanya dokter disini karena mencari solusi lain,negatif,1,0,0
cepat ramah bermanfat praktis,positif,0,0,1
terima kasih sangat terbantu dengan aplikasi ini jadi lebih mudah dan cepat serta efesien biaya,positif,0,0,1
sangat membantu sat pandemi tapi kalau bisa bayarnya bisa langsung tf antar bank supaya lebih memudahkan jl tidak py aplikasi gojek,negatif,1,0,0
aplikasi ini sangat membantu dan mudah diaplikasikan trimakasih,positif,0,0,1
beli obat dan batalkan oleh sepihak tapi dana nga bisa balik kita benar butuh sat seperti ini uang segitu bagi kami tidak sedikit apalagi sat kita sakit dan membutuhkan obat uang nga bisa tarik bukan membantu bahkan menyusahkan,negatif,1,0,0
sangat praktis tidah perlu dtng ke apotik atau toko obat semua ada di sini,positif,0,0,1
saya pesan obat selalu dibatlkan tidak oernah berhasil aplikasi yang aneh untuk apa buat aplikasi kalau tidak bisa digunakan,negatif,1,0,0
aplikasi ini sudah saya gunakan dari awal adanya sangat membantu dalam keadan darurat sangat mempermudah mencari obat dan berkonsultasi dengan dokter juga biayanya sangat murah,positif,0,0,1
mantul benar mantul dan sangat berguna aplikasi yang mantul ok suka,positif,0,0,1
sebelumnya saya sangat suport dengan aplikasi ini karena ada pelayanan vaksinisasi gratis program pemerintah tapi kenapa yah wilayah sumatera utara kemarin ada ini sudah tidak muncul lagi wilayahnya kecewa sedikit,netral,0,1,0
sejauh ini bagus banget hanya saran untuk waktu konsultasi agar di tambah terima kasih,positif,0,0,1
aneh sekali tidak semua obat yang direkomendasikan dokter itu ada dan bisa di tebus,negatif,1,0,0
pesanan dibatalkan proses lama sekitar seminguan dari proses pesan semingu barang tidak datang minta redund semingu lebih agak aneh balas lama ditingal menit lngsung mengakhiri sudah kesekian hubungin bgtu jawab menungu terus refund saldo ke gopay tidak refund buruk banget ini aplikasi cukup tahu,negatif,1,0,0
penjelasan sangat detail dan jelas dokternya juga ramah,positif,0,0,1
aplikasi apan ini daftar saja susah sudah beberapakali nungu masuk notif sms tidak ada ampe detiknya habis dan gituaja terus bintang cocok banget ini aplikasi,negatif,1,0,0
sangat membantu respon cepat dan pengiriman cepat,positif,0,0,1
mekanisme pengembalian uangnya sangat mengecewakan tidak mempernudah tapi tambah menyusahkan,netral,0,1,0
sanga cepat terlayani dan praktis,positif,0,0,1
bagaimana ini saya sudah kirim email sudah komplen belum ada tangapan juga saldo juga tidak bisa kembali,positif,0,0,1
dokter ok pesen obat parah resept dokter diambilkan apotik sudah terkirim satu lagi di proses dan dicarikan driver ditungu ternyata dicancel resep dokter berlaku lagi tidak bisa order ulang jadinya parah ini dikirim vitamin sedangkan obat sakit resep dokter utama tidak terkirim buat apa vitamin dikirim sedangkan obat yang digunakan dibutuhkan calcel super parah tidak rekom aplikasi ini kalau konsiltasi saja ok jangan pesen resep parah super parah,negatif,1,0,0
terima kasih apk sangat membantu sekali terutama dimasa pandemi seperti ini,positif,0,0,1
sangat membantu disat kesulitan dalam membeli obat terima kasih aplikasi halodoc,positif,0,0,1
aplikasi penipu saya order obat tangal juli lalu namun dicancel oleh apotik yang bersangkutan tapi hinga sat ini sudah mingu uang saya tidak di refund dan ditahan halodoc masa uang segitu saja masih dimakan juga malulah sama aplikasi lain,negatif,1,0,0
bagaimana cara mendaftar untuk vaksin dihalodoc di mantan polonia sudah bolak balik saya buka tutup terus saya sudah telepon ke nomor habis pulsa saya tidak berhasil juga,negatif,1,0,0
kalau beli obat terus gada stok uang langsung dikembalikan tanpa kita harus ajukan respon dokternya juga baik dan jelas tapi kalau beli obat dipersusah karena memang niatanya untk tidak disalah pergunakan jgsi,negatif,1,0,0
sangat membantu terimkasih sekali untuk pihak yang menghadirkan apa ini semoga sehat terus dan bermanfat bagi sesama aplg untuk harganya sangat ramah trlbh berguna sekali sat sat kondisi pandemi seperti ini,positif,0,0,1
sangat terbantu sekali berobat dan konsultasi tidak harus pergi ke dokter apalagi ditengah pandemi wabah cobid yang semakin meningkat alhamdulilah sangat terbantu obat datangpun cepat hanya berapa menit setelah di tutup alikasinya makasi halodoc,negatif,1,0,0
halodoc dokter fast respon dalam keadan pandemi seperti ini halodoc god solusi tidak perlu ke rumah sakit jika memang tidak urgent,negatif,1,0,0
memudahkan pasien yang ingin berobat tapi tidak keluar rumah harga konsultasi sangat murah dan dokter yang rekanan sangat profesional,netral,0,1,0
cukup bagus pilihan konsultasi dengan dokter spesialis cukup banyak kalau boleh ditambahkan lagi metode pembayaranya lewat transfer bank lain tanpa harus mendaftarkan kartu debit atau kredit terima kasih,negatif,1,0,0
tangal pernah buat pesanan obat namun pada esoknya tanggal tiba pesanan dibatalkan itu tidak ada konfirmasi apa pada tangal saya buat kembali pesanan obat namun sampai sat ini tangal sudah hari belum juga kirimkan pesanan saya laporan chat ke halodoc yang jawab cuma robot sangat merugikan untuk pihak saya,negatif,1,0,0
pesanan saya di cancel apotik tangal juli dengan nomor order paling yang saya bayarkan melalui gopay sampai sekarang saya belum menerima pengembalian dana saya chat melalui halodoc yang saya dapat hanya suruh menungu karena antrian banyak pedagang warung kecil pingir jalan saja tidak lama begini kalau tidak jadi beli dalam pengembalian dana belajar sama warung kecil di pingir jalan,negatif,1,0,0
sangat bagus dengan adanya apk halodoc semua menjadi mudah bagi yang tidak bisa langsung datang ke dokter rekomendasi banget cuma sayang belum bisa pakai bpjs,netral,0,1,0
pembayaran transaksi lain lancar cuma di sat kita butuh customer service tentang keluhan tidak pernah ada tangapan,negatif,1,0,0
pemesanan mudah dan pengiriman cepat,netral,0,1,0
mempermudah banget harganya juga terjangkau jadi konsul konsul hal hal urgent bisa langsung chat sudah chat dokter spesialis dan respon bagus bagus semua terimakasih,positif,0,0,1
dokternya baik ramah dan memberikan solusi yang terbaik terima kasih halodoc,positif,0,0,1
sangat membantu terima kasih salam sehat terus,positif,0,0,1
alhamdulilah dikasih resep dan motivasi yang baik juga cocok,positif,0,0,1
syukur cepat dapat tangapan dokter dan langsung dapat resep terima kasih,positif,0,0,1
aplikasi apan ini sangat menyusahkan tidak mempermudah tidak sesuai iklan di tv apanya yang bisa bisa di batalkan sembarangan saja pilih apotik ujung obat tidak ada selalu tidak ada buat aplikasi yang benar bisa di andalkan jangan ngasal saja stok di apotik tuh harus jelas jangan buat susah orang paham kalian nyadar tidak sich driver jauh sudah sampai di apotik ternyata obat tidak ada apa ke apotiknya pakai air mikir dong,negatif,1,0,0
sudah hari kerja saldo gopay saya belum drefund juga transaksi tanggal kterangan dalam proses tapi dbatalkan system sampai skrangpun belum drefund sampai kpan harus saya tungu parah tiada kejelasan cuma tungu tungu entah sampai kapan,negatif,1,0,0
sudah hari tapi belum ada kejelasan kapan obat saya sampai status pengiriman sejak hari pertama hanya terkonfirmasi padahal itu obat yang benar benar saya butuhkan karena saya pasien covid,negatif,1,0,0
aplikasi yang sangat tidak memuaskan saya buat janji dengan dokter tidak dikonfirmasi sampai yang sudah dijadwalkan akhirnya setelah lewat dari jadwal yang saya buat tibatiba diganti jadwal senaknya,negatif,1,0,0
kayaknya bagus di coba pembayaran cuma dengan gopay dan creditcard saja tidak bisa virtual acnt debit,negatif,1,0,0
pengalaman pertama pakai apa ini sangat memuaskan respon dokter sangat cepat dan on point tidak perlu antri lagi di rumah sakit,positif,0,0,1
membantu sekali cari obat yang kadang tidak ada di apotek terdekat untuk fitur lain sangat membantu,netral,0,1,0
saya sudah pesan obat dari kemarin obat itu sangat dibutuhkan ditungu sampai sekarang tidak ada kbrnya cuma dalam proses terus memang orang sakit harus nungu obatnya sampai lama payah,negatif,1,0,0
lama bikin akun saja harus nungu kode kode enga di kirim kirim apa apan ini tertawa,negatif,1,0,0
dokter ramah dan sangat membantu dalam konsultasi penyakit yang di derita sangat membantu di tengah kondisi seperti ini,positif,0,0,1
aplikasi jelek paket tidak sampai sudah hari menyesal instal dan order di halodoc,negatif,1,0,0
pengiriman cepat dan harga yang terbaik,netral,0,1,0
aplikasi yang sangat membantu di sat pandemi seperti ini juga lagi banyak promo konsultasi dengan dokternya terimakasih banyak halodoc,positif,0,0,1
sangat membantu informasinya jelas dokternya ramah,positif,0,0,1
sangat membantu disat kami jauh dari kota dan layanan kesehatan yang terbatas didaerah terima kasih halodoc,positif,0,0,1
aplikasi bagus dan sangat membantu terima kasih,positif,0,0,1
lumayan bisa konsultasi chat dengan dokter dari rumah dan cukup membantu bagi pasien yang ingin berkonsultasi chat semoga kedepanya juga bisa ada menu pilihan yang jika ingin konsultasi telepon cal terimakasih,positif,0,0,1
kenapa sudah bisa pembayaran tapi sat selesai kembali ke aplikasi tidak bisa tertulis ada masalah dengan pengiriman padahal pengiriman reguler,negatif,1,0,0
sangat bermanfat untuk orang yang sedang sakit dalam proses pengobatan maju terus halodoc,negatif,1,0,0
disat kondisi seperti ini dengan adanya program halodoc sangat membantu untuk konsultasi dengan dokter secara online dan pembelian obat atau alat kesehatan tanpa kita perlu keluar rumah,positif,0,0,1
mantap proses cepat pengiriman cepat,positif,0,0,1
aplikasi ok tapi untuk biaya kirim pasti lebih mahal dari layanan antar lainya,positif,0,0,1
sangat membantu apalagi di kala kondisi seperti yang tidak bisa langsung ke rumah sakit dan butuh urgent thankyou halodoc,negatif,1,0,0
sangat membantu aplikasi mudah dipakai,positif,0,0,1
sangat puas dan cepat terimakasih halodoc,positif,0,0,1
selalu puas dengan pelayananya diantar dengan baik dan sesuai pesanan terima kasih halodoc,positif,0,0,1
aplikasi sangat buruk pesan obat barang dikirim tidak sesuai jumlahnya slow respon dan obat di refunded sendiri oleh aplikasi tanpa pemberitahuan ke kita mengecewakan sekali,negatif,1,0,0
aplikasi ini sangat membantu apalagi di masa pandemi seperti ini apa yang kita keluhkan bisa chat sama dokternya langsung dan di beri resep langsung di antar obatnya bagus banget,positif,0,0,1
sangat membantu dan bisa sesuaikan budget,positif,0,0,1
halo doc doc saya tanya isteri saya masih mudah dan mis masih utuh tapi kalau bersetubuh rasa sakit dan pada akhirnya saya tidak bisa bersetubuh lagi apakah ada obat,negatif,1,0,0
trimakasi dokter bantuanya tetap semangat dan jaga kesehatan selalu,positif,0,0,1
komunikatif jelas maju terus halodoc,netral,0,1,0
tampilan aplikasi mudah dan jelas harga jasa konsultasi juga bervariasi mulai ratusan ribu bisa bayar pakai gopay harga harga obat juga masih terjangkau dan masuk akal resep obat yang diberikan lumayan bagus dan bekerja dengan baik dalam tubuh saya di sat masa pandemi seperti ini halodoc menjadi andalan saya dan keluarga sangat bagus dan bisa menolong dalam keadan darurat,positif,0,0,1
terbaik terima kasih halodoc konsultasi jadi lebih cepat dan ditangani banyak dokter berpengalaman,positif,0,0,1
sangat membantu sekali konsultasi jadi mudah,positif,0,0,1
sangat membatu cuma harga agak mahal saja,netral,0,1,0
iklanya gratis bertanya tapi harus bayar juga bagaimana bertanya secara gratis ngab,positif,0,0,1
lebih mudah mengakomodasi semua keperluan,positif,0,0,1
maf sementara ini saya rate bintang dulu pertama kali nyoba karena saya pikir bisa mempermudah dalam membeli obat ternyata susah proses refund sangat lama hampir satu mingu belum di refund berbelit belit dengan alasan proses yang cukup lama sedangkan teman saya refundnya cepat tidak sampai hitungan terima kasih,negatif,1,0,0
sejauh ini masih bekerja dengan baik aplikasinya dokter baik dalam menjelaskan,positif,0,0,1
baik ramah tepat dan sabar,positif,0,0,1
aplikasi sampah pesen obat sekarang dikirim lusa dikirim apotik sudah tutup ini aplikasi tidak update vendor apa amat sangat tidak berguna rugi waktu dan biaya,negatif,1,0,0
fast respon docter baik dan ramah,positif,0,0,1
sangat membantu sekali dan dokternya sangat ramah terima kasih halodoc,positif,0,0,1
aplikasi yang sangat baik dan sangat membatu apalagi disat pandemi kayak begini terima kasih for al,negatif,1,0,0
keren banget sangat membantu kita kalau sedang bingung konsultasi ke dokter apalagi sat kondisi pandemi begini keren ini aplikasi memang sangat membantu,positif,0,0,1
sangat simple aplikatif mantap,positif,0,0,1
apa ini keren sekali dan sangat membantu sat musim pandemi sekarang ini dan untuk bapak ibu dokter kami doa sehat selalu amin,positif,0,0,1
saya bok apointment dengan dokter tapi notifnya tidak masuk sudah apointment padahal sebelumnya diberitahu akan di reminder menit oleh aplikasi chat dokter juga tidak masuk notif uang saya jadi hangus jadi takut bok apointment lagi ujungnya bakal tidak masuk notif dan uang hangus,negatif,1,0,0
sat saya terpapar covid sudah dapat rujukan dari kemenkes sebelumnya saya sudah berobat ke dokter sekitar rumah hanya obat demam batuk pilek lalu konsul ke halodoc saya pikir mendapat resep vitamin dan obat antivirus gratis tidak dapat resep atau vitamin atau obat apapun mungkin karena gratis kali percuma konsul,netral,0,1,0
sangat efektif dan sangat membantu,positif,0,0,1
dulu awal pakai halodoc masih awal awal muncul dapat dokter responya bagus terus entah mungkin biar naik rating dulu kali jawaban memuaskan konsul tidak terburu buru kasih resep juga god sekarang sudah terakhir saya konsul online dokter respon lama konsul terburu buru tidak fokus dan jawab sekenanya saya konsultasi buat bayi dikasih resep yang terlalu keras sehinga saya harus konsul ofline lagi tidak praktis dan tidak memudahkan apalagi pandemi seperti ini,negatif,1,0,0
bayar kali untuk konsultasi tidak pernah bisa chat loading terus,netral,0,1,0
aplikasi sangat merugikan tidak bisa membatalkan pemesanan buat janji harusnya aplikasi ini bisa di batalkan kapan saja dan harusnya bisa di bantu untuk tapi tidak membatu sama sekali dan tidak bisa di batalkan saldo lenyap begitu saja membuat costumer menambah beban,negatif,1,0,0
obat batuk cukup lengkap dan pengantaranya juga cepat,negatif,1,0,0
membantu dengan penjelasan yang singkat dan mudah dipahami,netral,0,1,0
benar aplikasi yang sangat berguna disat pandemi ini solusi ketika ingin konsultasi tapi takut ke dokter karena takut antri dan berkerumun fast respon penjelasan lebih detail dari pada datang ke dokter langsung,netral,0,1,0
dokter ramah respon cepat dan sangat membantu,positif,0,0,1
payah banget obat yang diresepkan tidak pernah ada apotek rekanan yang ditunjuk tidak pernah siap obat padahal obat umum pasien itu pengenya cepat dapat obat terus sembuh bukan standby dengan hp check kesedian obat terus menerus yang ada bukanya sembuh bahkan jadi lebih sakit,negatif,1,0,0
suka banget dan dokter god response dan juga resep obat aman terpercaya terima kasih halodoc,positif,0,0,1
saya sedang isolasi mandiri dan halodoc ini masuk ke dalam program gratis dari kemenkes terima kasih sangat mempermudah pertahankan,netral,0,1,0
apotek pengambilan obat terlalu jauh banyak driver yang tidak pick up,negatif,1,0,0
pelayanan cepat dan lengkap,positif,0,0,1
halo aku nga pesen apa tiba datang paket padahal aplikasinya sudah aku hapus dari beberapa hari yang lalu,netral,0,1,0
mekanisme pembelian obatnya hanya mencari apotik disekitar tempat tingal kita atau di seputaran kota tempat tingal karena beberapa obat selalu tidak tersedia,negatif,1,0,0
sangat membantu sekali dan memudahkan apalagi pada sat pkm ini dan hebatnya bisa nyambung ke asuransi kita,positif,0,0,1
download langsung coba pesen obat buat mamah yang jauh sana alhamdulilah segampang itu ngebantu banget apa ini terima kasih,negatif,1,0,0
benar benar memudahkan kalau lagi keadan darurat dokternya juga ramah beli obat pakai aplikasi ini juga gampang,positif,0,0,1
penaganan cepat dan respon cepat terima kasih,positif,0,0,1
dibatalkan statusnya tanpa penjelasan,netral,0,1,0
jelek banget masak konsul kali pakai debit gagal padahal pembayaran sudah konfirmasi di coba lagi pakai metode pembayaran lain gagal juga padahal sudah terbayar sebenarnya bisa tidak di pakai ini,negatif,1,0,0
sangat membantu pelayanan memuaskan salam sehat,positif,0,0,1
metode pembayaran mungkin bisa diperbanyak lagi pilihanya,negatif,1,0,0
pelayan cepat dan penjelasanya sangat membantu,positif,0,0,1
bagus aplikasinya bisa mnjawab yang kita tanyakan dan bisa diresepkan obat juga terima kasih halodoc,netral,0,1,0
customer service galak lewat telepon tidak ramah complaint by email tidak di tangepin terus chat lama banget sekalinya balas tidak nyelesain masalah lagi ramai karena pandemic corona harus manajemen nambah resource,negatif,1,0,0
harga obat yang dipilih selalu yang paling atas apotik ngacak padahal didekat lokasi banyak apotik yang kerjasama dengan halodoc tapi selalu dapat yang jauh,negatif,1,0,0
keren dan sangat membantu untuk pasien yang hanya membutuhkan konsultasi,netral,0,1,0
pengiriman obat lama status diaplikasi hanya siap diantar berhari hari tidak ada solusi dari customer servicenya respon komplen chat dan email lama dan hanya diteruskan ke team terkait tanpa ada update selanjutnya,negatif,1,0,0
baik dan cepat pelayanany dan dokter specialis banyak,positif,0,0,1
tidak bisa didownload saya pakai hp dari orang lain juga tidak bisa untuk daftar vaksinasi jadi tertunda ini urgent sekali,negatif,1,0,0
pelayanan dokternya bagus baik dan ramah pengeriman obatnya juga cepat terimakasih halodoc,positif,0,0,1
pesanan langsung direspon pengirimanya juga cepat terbantu sekali karena beli obat di apotek sendiri banyak yang kosong,negatif,1,0,0
alhamdulilah ada aplikasi yang bisa terhubung langsung dengan dokter spesialis jadi tidak ribet buat konsul dan dokternya ramah terimakasih,positif,0,0,1
aplikasinya sangat membantu efisien efektif,positif,0,0,1
sangat amat membantu walaupun banyak yang sibuk dokternya karena yang sakit banyak bukan orang saja jadi tolong buat semua sabar karena dokter juga manusia,positif,0,0,1
agak kurang efektif konsul online karena dokter tidak bisa periksa pasienya dan hanya berdasarkan pengakuan pasien saja agak berisiko untuk dosis dan solusi yang diberikan tapi lumayan bermanfat untuk kondisi pandemi semoga semua cepat berlalu,negatif,1,0,0
aku kurang paham cara pembayaran cuma tolong biaya pembayaranya lampirkan melalui bangking juga,netral,0,1,0
harga obat mahal sudah begitu tidak respon terus sisa saldo dana tidak bisa di tarik jadi tertahan sisa saldo di aplikasi parah orang yang tidak ada uang butuh sisa saldo dikembalikan tapi tidak bisa di tarik lagi nyesel isi saldo di aplikasi ini bisa cuma jawab hai mohon maf maf kalian mang bisa balikin saldo kita,negatif,1,0,0
dokternya ada terus banyak pilihanya tidak mahal juga jasanya terbantu sekali pokokny dimasa pandemi begini alhamdulilah,netral,0,1,0
oke banget gampang di gunakan pesen barang cepat sampai,positif,0,0,1
aplikasi yang mudah digunakan dan sangat membantu dikala pandemi takut ke rumah sakit,negatif,1,0,0
parah order obat saya statusnya dibatalkan tapi tidak direfund lebih parah lagi kejadian lapor aplikasi maupun sosmed tidak ada tindak lanjutnya dikasih kabar tidak,negatif,1,0,0
saya beli obat bayar pakai gopay dari tangal juli lalu malemnya ternyata dicancel uang saya sampai sekarang sudah enam hari tidak dibalikin csnya di telepon sibuk tidak ada penyelesaian dikomplain lewat chat halodocnya yang balas bot,netral,0,1,0
baru download dan nyoba ke spesialis mata sudah ngikutin pembayaran gopay dan saldo kepotong begitu conect sama dokternya tidak bisa dong eror loading mesage terus chat tulisanya respon masa nungu balesan selama itu tidak ada yang standby tidak bisa dipake darurat aplikasi ini dan tidak tahu karena eror loading mesage itu bisa balikin saldo saya yang sudah kepotong lagi apa nga saja memang kalau kali berapa orang dalam sehari yang eror begitu chat dokternya menang banyak apa ini,negatif,1,0,0
saya pesan obat tangal juli katanya obat datang hari otomatis pesanan obat saya datang tangal juli nyatanya pesanan obat saya sekarang belum datang kalau tidak bisa memberikan pelayanan obat datang hari jangan buat perjanjian seperti itu respon sangat buruk saya kecewa dengan pelayanan holodoc ini tolong di benahi kedua orang tua saya lagi butuh obat itu,negatif,1,0,0
admin csnya terlalu lama untuk merespons dan dengan mudahnya harus mengakhiri obrolan sedangkan keluhan saya belum di atasi slow respon,negatif,1,0,0
sangat membantu disituasi pandemi ini trimakasih halodoc,positif,0,0,1
kelebihan untuk mencari berbagai macam obat saya acungi jempol tapi sisi negatif kita tidak bisa memilih lokasi tempat belinya disekitar kita tidak jauh banget tolong diharapkan untuk memperhatikan drivernya saya pesen dari jaksel bahkan dapatnya hampir ke arah cibinong apa tidak kasihan walaupun saya costumer tetap itu tidak manusiawi terlalu jauh terimakasih semoga lebih baik dari sat ini,negatif,1,0,0
sangat membantu hidup menjadi lebih sehat dan yang sakit cepat ter tangani terima kasih halodoc,positif,0,0,1
untuk di masa pandemi sekarang alhamdulilah kebantu dengan aplikasi ini,negatif,1,0,0
terimakasih banget halodoc lagi butuh obat urgent dan tidak ada di apotek disini dengan sangat mudah dan cepat diantar langsung ke rumah ampun menolong banget sumpah terimakasih banyak,positif,0,0,1
konsultasi puas langsung chat sama dokter dari awal bukan dengan robot,positif,0,0,1
pesanan saya tidak dikabarkan apakah jadi dikirim apa tidak jika tidak dikirim tolong segera balikin dana,negatif,1,0,0
sangat membantu sekali dokternya sangat ramah dan menerangkan dengan sangat baik,positif,0,0,1
bagus sayang saja tidak ada surat dokter tapi untungnya di kantor bisa pakai chat dokternya buat ijin mungkin kedepanya bisa ditingkatkan dengan layanan tatap muka pakai vidcal untuk lihat penyakitnya tapi kamera harus yang bagus,netral,0,1,0
untuk dokter cukup komikasif kendala harus rajin cari dokter yang bisa dichat untuk pengantaran obat beberapa lama mungkin karena stock yang sulit secara keseluruhan ok sangat mambantu dikala pandemi nga harus ke klinik,negatif,1,0,0
ok prosesnya gampang sampai cepat terima kasih hd,positif,0,0,1
sangat membantu sekali ketika tidak bisa berangkat ke dokter namun bisa konsultasi online,netral,0,1,0
salah saya tidak baca penilaian dulu beli obat resep dari dokter halodoc juga tahu di batalkan sepihak tapi uang tidak balik juga di chat slow respon banget tidak rekomen banget pakai halodoc banyak yang sama kasusnya tidak bisa refund bagi saya uang uang sangat berarti bagaimana kelanjutanya di proses melulu tapi uang tidak balik hadeh,negatif,1,0,0
bagus apalagi untuk di masa pandemi begini yang mengharuskan stay at home bisa konsultasi online lebih mudah,netral,0,1,0
aplikasi cukup baik tapi saya pernah mendapatkan dokter saya belum melakukan konsultasi baru menyapa dan perkenalkan nama tiba tiba dokternya sudah mengakhiri sesi dan tidak bisa di chat ulang sehinga saya harus mengulang mencari dokter dan membayar lagi,negatif,1,0,0
banyak pilihan dan ada keterangan lulusan universitas serta tempat praktek dan praktek bisa dihub brapa jika baru tidak online terima kasih halodoc,positif,0,0,1
oke banget mempermudah saya membeli obat dan tolong di tingkatkan lagi pelayanan,netral,0,1,0
sudah konsul dihalodoc sudah payment proses saya bayar pakai kartu kredit jadi proses verifikasinya agak lama begitu sudah dapat notif dari c dan payment sudah diproses alias sudah bayar tiba dokter sibuk ofline lalu prosesnya lama banget sampai saya keluarin lagi saya masuk apa lagi harus mulai dari awal lagi dan bayar lagi padahal yang sebelumnya saya sudah bayar dan pilih dokternya tapi tidak kesambung sama dokternya padahal di c sudah kepotong ini terjadi sudah kayaknya tidak bakal pakai ini lagi,negatif,1,0,0
dokter balesnya kelaman menit berasa menit saja bayar saja respon lama banget dikasih resep menit akhir di tanya lagi cara pakai dan lain lainyaeh tiba tiba selesai dan kalau beli obat kadang kadang salah kirim obatnya,netral,0,1,0
di masa pandemi seperti ini sangat membantu sekali jaya terus halodoc,positif,0,0,1
responya cepat hanya waktu konsultasinya saja terlalu cepat menurut saya,netral,0,1,0
kalau belanja obatnya banyak lebih baik tidak pakai halodoc karena lama dikirim saya order kamis senin malam belum sampai juga,negatif,1,0,0
kenapa aplikasinya suka eror sampai tidak bisa masuk padahal saya sudah refresh berkali mohon diperbaiki padahal kegunanya bagus,netral,0,1,0
saya pesan obat sudah hampir mingu belum sampai sampai dan tidak bisa membatalkan pesanan uang saya tidak bisa kembali menghubungi sangat slow respon tidak rekomended,negatif,1,0,0
